epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,632.882,1.34985,1.12114,1.11284,0.61037,0.5164,0.56905,0.3299,1.37058,1.25976,1.17051,0.000664773,0.000664773,0.000664773
2,1255.73,1.36109,0.95465,1.10984,0.68657,0.62691,0.66319,0.3655,1.36118,1.02857,1.1081,0.00130508,0.00130508,0.00130508
3,1877.2,1.35108,0.93556,1.09671,0.67847,0.57612,0.62268,0.35594,1.34915,1.11731,1.12294,0.00191898,0.00191898,0.00191898
4,2497.05,1.30444,0.88874,1.08129,0.72991,0.65894,0.71256,0.40972,1.29295,0.89226,1.07555,0.0018812,0.0018812,0.0018812
5,3115.51,1.28196,0.86035,1.07145,0.73192,0.65836,0.71609,0.42464,1.22124,0.83411,1.05429,0.0018416,0.0018416,0.0018416
6,3734.32,1.25743,0.83103,1.06018,0.73342,0.66872,0.72022,0.42078,1.23986,0.83161,1.05321,0.001802,0.001802,0.001802
7,4354.79,1.23091,0.81703,1.05346,0.75031,0.67699,0.73537,0.43354,1.20467,0.83196,1.04645,0.0017624,0.0017624,0.0017624
8,4975.91,1.22597,0.80128,1.05045,0.7567,0.68216,0.74155,0.43427,1.19577,0.78886,1.0335,0.0017228,0.0017228,0.0017228
9,5595.36,1.20146,0.78148,1.03845,0.75883,0.67979,0.7313,0.4377,1.18307,0.83077,1.0336,0.0016832,0.0016832,0.0016832
10,6214.27,1.19341,0.7735,1.03533,0.75383,0.68682,0.74963,0.45136,1.1672,0.76229,1.0235,0.0016436,0.0016436,0.0016436
11,6834.63,1.18638,0.76452,1.03441,0.76072,0.68121,0.74944,0.45194,1.15911,0.76814,1.02047,0.001604,0.001604,0.001604
12,7454.88,1.17666,0.76043,1.03287,0.76374,0.68455,0.75233,0.45397,1.15734,0.76847,1.01695,0.0015644,0.0015644,0.0015644
13,8074.14,1.15907,0.73819,1.02224,0.76796,0.69511,0.76181,0.46365,1.1414,0.73428,1.01269,0.0015248,0.0015248,0.0015248
14,8696.75,1.1608,0.73719,1.0199,0.77236,0.69301,0.76353,0.46535,1.13852,0.72542,1.00895,0.0014852,0.0014852,0.0014852
15,9319.61,1.15423,0.73071,1.01571,0.7719,0.70355,0.75896,0.45754,1.14343,0.73386,1.01228,0.0014456,0.0014456,0.0014456
16,9940.71,1.154,0.72383,1.01616,0.78287,0.70471,0.77499,0.47571,1.12824,0.70065,1.00878,0.001406,0.001406,0.001406
17,10556.4,1.15041,0.72322,1.01982,0.77488,0.69943,0.7705,0.46917,1.13546,0.71527,1.00933,0.0013664,0.0013664,0.0013664
18,11175.9,1.12779,0.70364,1.00961,0.77444,0.70608,0.76681,0.46647,1.13578,0.71618,1.0082,0.0013268,0.0013268,0.0013268
19,11796,1.13328,0.70781,1.01289,0.78105,0.70588,0.77568,0.47962,1.11155,0.6946,1.00536,0.0012872,0.0012872,0.0012872
20,12412.9,1.12283,0.70122,1.00854,0.77551,0.70802,0.77321,0.47691,1.1091,0.69883,0.99807,0.0012476,0.0012476,0.0012476
21,13030.7,1.12423,0.69213,1.00356,0.77177,0.71631,0.77661,0.47526,1.1224,0.69386,1.00672,0.001208,0.001208,0.001208
22,13651.1,1.1203,0.68937,1.00481,0.78351,0.70559,0.77738,0.4811,1.10714,0.68833,1.00046,0.0011684,0.0011684,0.0011684
23,14269,1.11163,0.68334,1.00242,0.78648,0.71404,0.77968,0.47804,1.11102,0.68755,0.99845,0.0011288,0.0011288,0.0011288
24,14888,1.09952,0.6786,0.99926,0.788,0.70571,0.77422,0.47306,1.10963,0.70077,1.00316,0.0010892,0.0010892,0.0010892
25,15503.7,1.10488,0.67353,0.99806,0.78551,0.71753,0.78282,0.48378,1.09207,0.67287,0.99628,0.0010496,0.0010496,0.0010496
