epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,258.452,1.48234,1.65105,1.11643,0.67401,0.61618,0.64243,0.35894,1.34302,1.08079,1.05417,0.000664773,0.000664773,0.000664773
2,509.302,1.38367,1.06471,1.07259,0.70291,0.63648,0.68391,0.38614,1.31126,0.98427,1.04685,0.00130508,0.00130508,0.00130508
3,757.933,1.37339,0.97829,1.06984,0.70672,0.60882,0.67232,0.39269,1.296,0.93978,1.05448,0.00191898,0.00191898,0.00191898
4,1008.58,1.33129,0.92085,1.05861,0.70706,0.63861,0.68605,0.39047,1.32311,0.93315,1.05676,0.0018812,0.0018812,0.0018812
5,1258.02,1.31089,0.89491,1.05058,0.73338,0.66163,0.7095,0.4123,1.25348,0.87016,1.03253,0.0018416,0.0018416,0.0018416
6,1506.51,1.289,0.86886,1.04265,0.72166,0.63605,0.69734,0.41528,1.25534,0.86883,1.02621,0.001802,0.001802,0.001802
7,1754.89,1.26539,0.84928,1.03683,0.74146,0.67161,0.72854,0.43116,1.20195,0.81791,1.0148,0.0017624,0.0017624,0.0017624
8,2005.09,1.26113,0.83548,1.03367,0.73735,0.66342,0.71912,0.4226,1.221,0.82245,1.01278,0.0017228,0.0017228,0.0017228
9,2254.17,1.24037,0.82181,1.02488,0.74217,0.65498,0.71951,0.42854,1.22465,0.82881,1.02166,0.0016832,0.0016832,0.0016832
10,2506.07,1.23896,0.8123,1.02376,0.74573,0.66639,0.7318,0.43379,1.19219,0.78793,1.00433,0.0016436,0.0016436,0.0016436
11,2755.31,1.23155,0.80747,1.02334,0.76023,0.65772,0.7329,0.44116,1.1995,0.78682,1.00532,0.001604,0.001604,0.001604
12,3004.89,1.22055,0.80049,1.02315,0.75596,0.67674,0.73985,0.44229,1.18811,0.78528,1.00368,0.0015644,0.0015644,0.0015644
13,3253.96,1.2054,0.77881,1.01207,0.76148,0.68148,0.74671,0.4487,1.16871,0.76978,1.00042,0.0015248,0.0015248,0.0015248
14,3504.36,1.20576,0.77926,1.01088,0.75297,0.67955,0.74099,0.44779,1.17412,0.76096,0.99877,0.0014852,0.0014852,0.0014852
15,3755.54,1.20054,0.77071,1.00739,0.76252,0.67554,0.74647,0.45403,1.16137,0.75121,0.99471,0.0014456,0.0014456,0.0014456
16,4006.14,1.20186,0.76808,1.00891,0.75276,0.68998,0.74813,0.45046,1.16596,0.76301,0.99884,0.001406,0.001406,0.001406
17,4255.78,1.20024,0.76719,1.01088,0.7507,0.6796,0.74247,0.44616,1.17407,0.76324,1.00028,0.0013664,0.0013664,0.0013664
18,4505.31,1.17549,0.74668,1.00036,0.76095,0.68189,0.7509,0.45127,1.16815,0.74,0.99328,0.0013268,0.0013268,0.0013268
19,4754.68,1.17709,0.74551,1.00268,0.76699,0.68195,0.74866,0.4571,1.14887,0.74077,0.99522,0.0012872,0.0012872,0.0012872
20,5003.06,1.17207,0.74231,1.00102,0.76494,0.69185,0.7557,0.46166,1.14534,0.72596,0.99162,0.0012476,0.0012476,0.0012476
21,5252.52,1.16939,0.73411,0.99558,0.762,0.68974,0.75705,0.46297,1.14097,0.73124,0.98927,0.001208,0.001208,0.001208
22,5503.2,1.16634,0.73056,0.99685,0.77099,0.69266,0.75962,0.46727,1.1317,0.71662,0.98351,0.0011684,0.0011684,0.0011684
23,5751.56,1.16211,0.72999,0.99627,0.76842,0.69138,0.76336,0.4696,1.13103,0.71308,0.98294,0.0011288,0.0011288,0.0011288
24,6000.31,1.14749,0.72219,0.99336,0.76778,0.69707,0.75926,0.46161,1.13032,0.72264,0.98525,0.0010892,0.0010892,0.0010892
25,6249.29,1.15503,0.71895,0.99304,0.77107,0.69983,0.76525,0.47143,1.11856,0.69874,0.98059,0.0010496,0.0010496,0.0010496
26,6499.23,1.1426,0.71597,0.9912,0.77606,0.69522,0.75952,0.46496,1.11911,0.72588,0.98267,0.00101,0.00101,0.00101
27,6748.69,1.13835,0.69768,0.98425,0.7756,0.70227,0.76448,0.46704,1.12415,0.71175,0.98043,0.0009704,0.0009704,0.0009704
28,6998.2,1.13223,0.69818,0.98329,0.77085,0.70693,0.76702,0.47021,1.12841,0.70423,0.98504,0.0009308,0.0009308,0.0009308
29,7247.46,1.13015,0.70055,0.98588,0.77666,0.70047,0.76847,0.47245,1.12075,0.6984,0.97743,0.0008912,0.0008912,0.0008912
30,7496.45,1.13297,0.69612,0.98572,0.78003,0.69764,0.7699,0.47537,1.10927,0.69138,0.97468,0.0008516,0.0008516,0.0008516
31,7747.22,1.12922,0.69494,0.98317,0.77411,0.70235,0.77081,0.47953,1.09454,0.68836,0.97142,0.000812,0.000812,0.000812
32,7996.33,1.11544,0.68255,0.97883,0.77808,0.70408,0.77493,0.47898,1.10428,0.6891,0.97333,0.0007724,0.0007724,0.0007724
33,8246.91,1.11753,0.682,0.97774,0.77786,0.69988,0.76969,0.47874,1.10359,0.67955,0.97427,0.0007328,0.0007328,0.0007328
34,8496.77,1.1237,0.68605,0.98008,0.78235,0.70466,0.7735,0.48174,1.09722,0.67548,0.97312,0.0006932,0.0006932,0.0006932
