epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.483,1.38043,1.55232,1.11238,0.68846,0.63631,0.66947,0.384,1.32596,0.95552,1.07913,0.000664773,0.000664773,0.000664773
2,698.893,1.34085,0.93956,1.07786,0.69277,0.62656,0.66849,0.38015,1.31514,1.0644,1.07563,0.00130508,0.00130508,0.00130508
3,1046.26,1.33324,0.91968,1.06825,0.69554,0.60623,0.65595,0.37279,1.31539,1.02335,1.06338,0.00191898,0.00191898,0.00191898
4,1394.45,1.2928,0.87573,1.05354,0.73047,0.66319,0.7187,0.41935,1.25827,0.86068,1.03944,0.0018812,0.0018812,0.0018812
5,1740.77,1.28313,0.85619,1.05097,0.73399,0.67484,0.72553,0.42247,1.23548,0.8488,1.02925,0.0018416,0.0018416,0.0018416
6,2087.7,1.24994,0.8254,1.03742,0.74908,0.67746,0.73765,0.44075,1.2044,0.79273,1.0213,0.001802,0.001802,0.001802
7,2433.07,1.2325,0.80561,1.03391,0.75588,0.68742,0.74421,0.44193,1.20165,0.78949,1.01617,0.0017624,0.0017624,0.0017624
8,2779.71,1.22334,0.7983,1.02842,0.72861,0.64219,0.7018,0.40247,1.25928,0.91136,1.03465,0.0017228,0.0017228,0.0017228
9,3126.64,1.20381,0.78178,1.01978,0.75397,0.68957,0.74838,0.45092,1.16554,0.7591,1.00834,0.0016832,0.0016832,0.0016832
10,3475.84,1.19866,0.77467,1.01718,0.76552,0.68165,0.74737,0.44961,1.16842,0.75276,1.00646,0.0016436,0.0016436,0.0016436
11,3820.7,1.19104,0.7657,1.01654,0.76019,0.67152,0.74037,0.4483,1.18382,0.77143,1.01054,0.001604,0.001604,0.001604
12,4167.07,1.18181,0.75967,1.01534,0.75872,0.68794,0.7488,0.4511,1.16768,0.76485,1.00307,0.0015644,0.0015644,0.0015644
13,4512.64,1.16928,0.74289,1.00658,0.75744,0.69849,0.7555,0.45941,1.15363,0.72907,1.00226,0.0015248,0.0015248,0.0015248
14,4860.12,1.16848,0.73851,1.00506,0.76787,0.69033,0.75898,0.46616,1.13959,0.73077,0.99393,0.0014852,0.0014852,0.0014852
15,5209.5,1.15753,0.73282,0.99944,0.77332,0.69522,0.76305,0.4678,1.1282,0.7124,0.98847,0.0014456,0.0014456,0.0014456
16,5557.45,1.15965,0.72685,1.00044,0.77502,0.70128,0.76468,0.46802,1.13306,0.72184,0.99547,0.001406,0.001406,0.001406
17,5906.19,1.1586,0.73018,1.00456,0.76975,0.69492,0.76364,0.46512,1.13184,0.7295,0.9923,0.0013664,0.0013664,0.0013664
18,6252.35,1.1344,0.70782,0.99307,0.77127,0.7046,0.76902,0.47255,1.11986,0.70321,0.98736,0.0013268,0.0013268,0.0013268
19,6598.86,1.14165,0.71048,0.99683,0.77664,0.71392,0.77499,0.47472,1.12423,0.69944,0.99206,0.0012872,0.0012872,0.0012872
20,6943.72,1.13125,0.705,0.994,0.77502,0.706,0.76513,0.46873,1.1233,0.71365,0.9903,0.0012476,0.0012476,0.0012476
21,7290.62,1.12952,0.69429,0.98734,0.78087,0.71281,0.7773,0.4789,1.11334,0.68737,0.98551,0.001208,0.001208,0.001208
22,7637.37,1.12385,0.69143,0.98941,0.78502,0.70609,0.77497,0.47756,1.10894,0.68558,0.98205,0.0011684,0.0011684,0.0011684
23,7981.92,1.12132,0.68804,0.98883,0.78735,0.71345,0.78096,0.48428,1.09968,0.68264,0.97616,0.0011288,0.0011288,0.0011288
24,8329.15,1.1092,0.6843,0.984,0.78714,0.71444,0.78068,0.48332,1.09613,0.67481,0.97812,0.0010892,0.0010892,0.0010892
25,8675.32,1.10948,0.67759,0.98318,0.78959,0.712,0.78146,0.48825,1.0863,0.66385,0.97366,0.0010496,0.0010496,0.0010496
26,9020.6,1.09871,0.67508,0.98188,0.78751,0.71316,0.78057,0.48694,1.0871,0.6731,0.97809,0.00101,0.00101,0.00101
27,9365.44,1.09891,0.66332,0.97733,0.79208,0.71401,0.78287,0.48615,1.08752,0.66982,0.97312,0.0009704,0.0009704,0.0009704
28,9712.24,1.08781,0.65941,0.9733,0.78246,0.72127,0.77942,0.48366,1.08896,0.6709,0.97509,0.0009308,0.0009308,0.0009308
29,10054.9,1.08854,0.65986,0.97708,0.78601,0.71472,0.78197,0.48518,1.08465,0.66528,0.97645,0.0008912,0.0008912,0.0008912
30,10400.9,1.08712,0.65818,0.97516,0.78939,0.71773,0.78584,0.48953,1.07754,0.66116,0.97247,0.0008516,0.0008516,0.0008516
31,10748.3,1.08529,0.65432,0.97582,0.78605,0.71706,0.78324,0.49098,1.07947,0.6577,0.97501,0.000812,0.000812,0.000812
32,11093.8,1.0702,0.64367,0.96956,0.79344,0.71584,0.78814,0.49292,1.06911,0.65829,0.96949,0.0007724,0.0007724,0.0007724
33,11441.5,1.07452,0.64107,0.96909,0.79376,0.72154,0.7898,0.49395,1.07733,0.64998,0.97166,0.0007328,0.0007328,0.0007328
34,11788.3,1.0793,0.64448,0.97217,0.78779,0.72105,0.78861,0.49466,1.06146,0.64977,0.96868,0.0006932,0.0006932,0.0006932
35,12133.4,1.05471,0.62765,0.96271,0.79848,0.72248,0.79187,0.49997,1.05955,0.63237,0.96692,0.0006536,0.0006536,0.0006536
36,12479.4,1.06094,0.62782,0.96442,0.79123,0.7304,0.79272,0.49843,1.06607,0.6333,0.96943,0.000614,0.000614,0.000614
37,12824.9,1.04441,0.61977,0.95871,0.79607,0.72254,0.79347,0.49932,1.0616,0.6345,0.96523,0.0005744,0.0005744,0.0005744
38,13170.7,1.04822,0.61688,0.95903,0.80421,0.7205,0.79252,0.50273,1.05533,0.62631,0.963,0.0005348,0.0005348,0.0005348
39,13516.6,1.04621,0.61533,0.95965,0.7938,0.72758,0.79313,0.50119,1.05336,0.62902,0.96177,0.0004952,0.0004952,0.0004952
40,13861.7,1.03546,0.60392,0.95466,0.79589,0.72469,0.79463,0.50121,1.05052,0.62679,0.96326,0.0004556,0.0004556,0.0004556
41,14205.2,1.04456,0.60035,0.95058,0.79833,0.72598,0.79469,0.50041,1.05687,0.62904,0.96427,0.000416,0.000416,0.000416
42,14546.3,1.03455,0.5957,0.94588,0.7889,0.73046,0.79298,0.50092,1.05816,0.62788,0.96365,0.0003764,0.0003764,0.0003764
43,14885.4,1.02601,0.58952,0.94551,0.80367,0.72834,0.79795,0.50431,1.05178,0.62345,0.96262,0.0003368,0.0003368,0.0003368
44,15224.4,1.02304,0.58166,0.94253,0.79917,0.72551,0.79615,0.50518,1.0481,0.6197,0.9642,0.0002972,0.0002972,0.0002972
45,15563.9,1.01831,0.5784,0.94135,0.80422,0.72924,0.79986,0.50626,1.04806,0.61307,0.96452,0.0002576,0.0002576,0.0002576
46,15903.7,1.00704,0.56875,0.93853,0.8026,0.72702,0.79783,0.50559,1.04319,0.61548,0.96227,0.000218,0.000218,0.000218
47,16242.9,1.0096,0.5657,0.93868,0.80263,0.72743,0.79875,0.50721,1.04173,0.61172,0.96164,0.0001784,0.0001784,0.0001784
48,16582,1.00112,0.55832,0.93565,0.79977,0.73046,0.7993,0.50802,1.03776,0.60764,0.96343,0.0001388,0.0001388,0.0001388
49,16920.4,0.99882,0.55405,0.93498,0.80979,0.72778,0.80118,0.50937,1.03957,0.60384,0.96383,9.92e-05,9.92e-05,9.92e-05
50,17258.7,0.99571,0.54979,0.93359,0.79988,0.73029,0.80011,0.50939,1.03767,0.60412,0.96144,5.96e-05,5.96e-05,5.96e-05
