epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,620.709,0.9642,1.39494,0.97609,0.66439,0.73676,0.75308,0.53041,1.03704,0.96024,1.01219,0.000554088,0.000554088,0.000554088
2,1235.92,0.98239,0.83618,0.98417,0.7484,0.74134,0.78525,0.56173,1.01959,0.86774,1.00086,0.00109877,0.00109877,0.00109877
3,1849.15,1.01213,0.82848,0.99465,0.7265,0.7419,0.78838,0.56179,1.04243,0.83683,1.01245,0.00163245,0.00163245,0.00163245
4,2461.22,1.01037,0.82139,0.99625,0.73893,0.71278,0.7634,0.54331,1.05245,0.88976,1.01547,0.00161749,0.00161749,0.00161749
5,3073.53,1.02504,0.81513,1.00143,0.74615,0.74963,0.7918,0.56373,1.05433,0.81628,1.02473,0.00160099,0.00160099,0.00160099
6,3684.59,1.0083,0.7923,0.99487,0.75961,0.75161,0.8015,0.57548,1.02416,0.79898,1.00185,0.00158448,0.00158448,0.00158448
7,4296.63,1.00046,0.77257,0.99458,0.76578,0.75405,0.8052,0.57548,1.04016,0.79957,1.00919,0.00156798,0.00156798,0.00156798
8,4908.37,1.00374,0.76575,0.99531,0.76939,0.75638,0.80881,0.58555,1.02041,0.78028,1.00653,0.00155148,0.00155148,0.00155148
9,5523.49,0.99166,0.76514,0.9878,0.76046,0.71684,0.76507,0.54629,1.05863,1.35012,1.01981,0.00153497,0.00153497,0.00153497
10,6134.01,0.99678,0.74582,0.99075,0.77651,0.76691,0.81598,0.58633,1.02833,0.75954,1.00917,0.00151847,0.00151847,0.00151847
11,6744.53,0.98959,0.74416,0.98858,0.77335,0.75172,0.80902,0.58439,1.03377,0.77008,1.01272,0.00150197,0.00150197,0.00150197
12,7358.31,0.98565,0.73355,0.98892,0.77807,0.75784,0.80997,0.58289,1.03209,0.77767,1.00964,0.00148546,0.00148546,0.00148546
13,7968.96,0.97858,0.72519,0.98468,0.74485,0.76255,0.81264,0.58518,1.01841,0.76866,1.00756,0.00146896,0.00146896,0.00146896
14,8582.83,0.98121,0.71296,0.98329,0.7767,0.74949,0.80928,0.58403,1.02236,0.77382,1.00508,0.00145246,0.00145246,0.00145246
15,9196.21,0.97594,0.71106,0.9787,0.77527,0.77176,0.81879,0.59131,1.01113,0.74238,1.00572,0.00143595,0.00143595,0.00143595
16,9810.51,0.98125,0.71081,0.9812,0.78803,0.77682,0.83023,0.60488,1.00198,0.71699,0.99701,0.00141945,0.00141945,0.00141945
17,10426.2,0.97979,0.69916,0.98397,0.77398,0.7807,0.82218,0.59832,1.00715,0.75299,1.00261,0.00140295,0.00140295,0.00140295
18,11038.8,0.95925,0.68376,0.97433,0.77881,0.77486,0.82456,0.5987,1.00616,0.72539,0.99889,0.00138644,0.00138644,0.00138644
19,11650.9,0.96683,0.68729,0.97974,0.78659,0.77204,0.82425,0.59725,1.01883,0.72436,1.0083,0.00136994,0.00136994,0.00136994
20,12262.7,0.96028,0.68095,0.97683,0.7929,0.78051,0.83259,0.60629,1.00134,0.70804,0.99829,0.00135344,0.00135344,0.00135344
21,12877.1,0.9616,0.67279,0.97229,0.78947,0.77759,0.83021,0.60501,1.00714,0.71484,1.00335,0.00133693,0.00133693,0.00133693
22,13491,0.96271,0.66959,0.97387,0.79261,0.77992,0.82891,0.60985,0.99193,0.70629,0.99509,0.00132043,0.00132043,0.00132043
23,14105.7,0.95701,0.6663,0.97286,0.7913,0.78213,0.83738,0.61323,0.99587,0.69709,0.99792,0.00130393,0.00130393,0.00130393
24,14718.5,0.94128,0.66264,0.96913,0.78209,0.77401,0.82603,0.59978,1.00421,0.72005,1.00055,0.00128742,0.00128742,0.00128742
25,15330.6,0.94805,0.65576,0.96789,0.79354,0.77851,0.8327,0.60841,0.99162,0.70246,0.99426,0.00127092,0.00127092,0.00127092
26,15943.6,0.94112,0.65525,0.96851,0.78871,0.77655,0.8261,0.60263,1.00636,0.71642,1.00225,0.00125442,0.00125442,0.00125442
27,16553.9,0.94069,0.64271,0.96421,0.79077,0.78145,0.83145,0.60777,0.99379,0.69742,0.99879,0.00123791,0.00123791,0.00123791
28,17166.8,0.9343,0.63997,0.96302,0.78654,0.77902,0.831,0.60833,0.98767,0.70339,0.99744,0.00122141,0.00122141,0.00122141
29,17779.3,0.9359,0.64341,0.96599,0.78441,0.79207,0.83906,0.61611,0.98193,0.6848,0.99163,0.00120491,0.00120491,0.00120491
30,18390.2,0.93705,0.63242,0.96539,0.79935,0.78253,0.83876,0.61775,0.98001,0.68601,0.99403,0.0011884,0.0011884,0.0011884
31,19002.8,0.92877,0.6331,0.96477,0.80475,0.78261,0.83884,0.61645,0.98031,0.68306,0.99056,0.0011719,0.0011719,0.0011719
32,19615.9,0.91801,0.62149,0.95795,0.80118,0.7856,0.83947,0.61788,0.97982,0.67227,0.99511,0.0011554,0.0011554,0.0011554
33,20228.4,0.9215,0.62158,0.95771,0.80506,0.7892,0.84141,0.61989,0.98341,0.67054,0.9961,0.00113889,0.00113889,0.00113889
34,20842.1,0.93232,0.62557,0.96262,0.80651,0.78527,0.84252,0.62177,0.97771,0.66999,0.99307,0.00112239,0.00112239,0.00112239
35,21455.1,0.91204,0.60659,0.95388,0.80258,0.78851,0.84082,0.6213,0.98235,0.66516,0.99548,0.00110589,0.00110589,0.00110589
36,22067.2,0.91838,0.60843,0.95602,0.80406,0.78884,0.84072,0.61965,0.98574,0.6709,0.99743,0.00108938,0.00108938,0.00108938
37,22679.6,0.90322,0.60315,0.94989,0.79528,0.793,0.8405,0.6207,0.97851,0.67195,0.99432,0.00107288,0.00107288,0.00107288
38,23291.6,0.91149,0.60112,0.95324,0.80913,0.78699,0.8434,0.62225,0.98327,0.66669,0.9956,0.00105638,0.00105638,0.00105638
39,23902.3,0.90982,0.59388,0.95414,0.8038,0.78858,0.84023,0.62184,0.986,0.67635,0.99835,0.00103987,0.00103987,0.00103987
40,24512.2,0.90032,0.59139,0.94952,0.79823,0.79071,0.83813,0.61948,0.98325,0.67029,0.99647,0.00102337,0.00102337,0.00102337
41,25123.9,0.90875,0.59068,0.95152,0.80063,0.79643,0.84153,0.62172,0.98072,0.66354,0.99744,0.00100687,0.00100687,0.00100687
42,25735.5,0.90007,0.58395,0.9493,0.80811,0.7925,0.8471,0.62728,0.96745,0.65464,0.98811,0.000990365,0.000990365,0.000990365
43,26348.9,0.91098,0.58977,0.95306,0.80689,0.79623,0.84304,0.62135,0.98447,0.66296,0.99478,0.000973861,0.000973861,0.000973861
44,26961.4,0.90354,0.57811,0.94827,0.81141,0.79477,0.84499,0.62672,0.9695,0.65538,0.99336,0.000957358,0.000957358,0.000957358
45,27574.1,0.89463,0.57389,0.94428,0.80485,0.79781,0.84599,0.62488,0.97875,0.65263,0.99935,0.000940855,0.000940855,0.000940855
46,28184.1,0.88827,0.56964,0.94647,0.80995,0.80101,0.85072,0.63135,0.97371,0.64666,0.99012,0.000924352,0.000924352,0.000924352
47,28797.4,0.89378,0.56703,0.94307,0.80998,0.80175,0.84972,0.63028,0.96834,0.65047,0.99006,0.000907848,0.000907848,0.000907848
48,29409.5,0.88404,0.5619,0.94006,0.80397,0.80194,0.84839,0.62898,0.97157,0.65348,0.99642,0.000891345,0.000891345,0.000891345
49,30022.1,0.89743,0.56688,0.94579,0.82161,0.79276,0.84809,0.62928,0.96698,0.64678,0.99401,0.000874842,0.000874842,0.000874842
50,30634.5,0.89006,0.5654,0.94237,0.81576,0.79438,0.84799,0.62822,0.97374,0.65215,0.99435,0.000858338,0.000858338,0.000858338
51,31248.6,0.88106,0.55741,0.93839,0.81358,0.79758,0.84855,0.62832,0.97182,0.65108,0.99446,0.000841835,0.000841835,0.000841835
52,31862.3,0.88756,0.55964,0.94295,0.80903,0.80069,0.84819,0.63087,0.96672,0.64272,0.99127,0.000825332,0.000825332,0.000825332
53,32475.1,0.88103,0.55408,0.93886,0.81636,0.79736,0.84969,0.63148,0.97338,0.64174,0.99731,0.000808828,0.000808828,0.000808828
54,33086.3,0.88382,0.55183,0.94022,0.81535,0.80173,0.852,0.63425,0.96119,0.63559,0.99296,0.000792325,0.000792325,0.000792325
55,33698.4,0.87243,0.54503,0.93816,0.81951,0.79531,0.84871,0.63113,0.96869,0.64061,0.99356,0.000775822,0.000775822,0.000775822
56,34311.5,0.87081,0.54047,0.93632,0.8186,0.80236,0.8511,0.63258,0.96899,0.63489,0.99746,0.000759318,0.000759318,0.000759318
57,34923.8,0.86939,0.54114,0.93382,0.82255,0.79546,0.85014,0.63339,0.96854,0.63313,0.9969,0.000742815,0.000742815,0.000742815
58,35536.3,0.86302,0.53443,0.93187,0.82086,0.79977,0.84958,0.63241,0.96742,0.63579,0.99485,0.000726312,0.000726312,0.000726312
59,36145.5,0.8568,0.53115,0.93356,0.81774,0.80119,0.84908,0.63287,0.96831,0.63666,0.99711,0.000709809,0.000709809,0.000709809
60,36757.1,0.86223,0.52647,0.93095,0.82277,0.79603,0.85059,0.6348,0.96543,0.63007,0.99903,0.000693305,0.000693305,0.000693305
61,37369,0.85361,0.51913,0.92885,0.81286,0.8048,0.84859,0.63274,0.96563,0.63808,0.99464,0.000676802,0.000676802,0.000676802
62,37979.9,0.86367,0.52604,0.93207,0.81912,0.79841,0.84896,0.63318,0.96636,0.63247,0.99803,0.000660299,0.000660299,0.000660299
63,38592.5,0.85003,0.52252,0.92852,0.818,0.79846,0.84819,0.63227,0.96779,0.63657,1.00173,0.000643795,0.000643795,0.000643795
64,39204.5,0.85123,0.51986,0.92815,0.81864,0.80536,0.85324,0.63575,0.96624,0.62594,1.00084,0.000627292,0.000627292,0.000627292
65,39815.9,0.8486,0.51724,0.92615,0.81625,0.79988,0.84791,0.63147,0.96909,0.63749,1.00378,0.000610789,0.000610789,0.000610789
66,40429.6,0.84979,0.51204,0.92901,0.81992,0.79859,0.85053,0.63418,0.96781,0.62994,1.00035,0.000594286,0.000594286,0.000594286
67,41042.6,0.84782,0.51295,0.92468,0.81927,0.7987,0.84968,0.63382,0.96738,0.62965,0.99806,0.000577782,0.000577782,0.000577782
68,41656.7,0.84312,0.50538,0.92366,0.81927,0.79935,0.84851,0.6329,0.96649,0.63265,1.0006,0.000561279,0.000561279,0.000561279
69,42269.4,0.84075,0.50467,0.9225,0.82156,0.79929,0.84961,0.63324,0.96838,0.6289,1.00311,0.000544776,0.000544776,0.000544776
70,42882.1,0.83538,0.49841,0.92204,0.82049,0.80307,0.84977,0.63416,0.9651,0.62948,0.99939,0.000528272,0.000528272,0.000528272
71,43494.6,0.84131,0.49922,0.92354,0.81922,0.80132,0.84836,0.63281,0.97248,0.63024,1.00333,0.000511769,0.000511769,0.000511769
72,44107.9,0.83154,0.49612,0.91823,0.81667,0.80402,0.84937,0.63333,0.9705,0.6311,1.007,0.000495266,0.000495266,0.000495266
73,44720.3,0.82951,0.4921,0.91799,0.82109,0.80102,0.84909,0.6325,0.97381,0.63124,1.00722,0.000478762,0.000478762,0.000478762
74,45332.2,0.83034,0.49255,0.92089,0.82007,0.8008,0.84868,0.63282,0.97133,0.63008,1.00707,0.000462259,0.000462259,0.000462259
