epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.197,1.03553,1.63663,0.9821,0.6481,0.72128,0.73702,0.50979,1.05629,1.04514,0.99101,0.000554088,0.000554088,0.000554088
2,494.995,1.03961,0.96788,0.98182,0.73762,0.72094,0.77237,0.54942,1.04022,0.8868,0.9846,0.00109877,0.00109877,0.00109877
3,736.996,1.0655,0.90211,0.99076,0.72907,0.70509,0.76058,0.54139,1.06427,0.888,0.98849,0.00163245,0.00163245,0.00163245
4,977.556,1.06345,0.87626,0.99136,0.73122,0.72643,0.77132,0.54274,1.07219,0.89449,0.99563,0.00161749,0.00161749,0.00161749
5,1219.39,1.06989,0.8597,0.99358,0.72287,0.73095,0.7713,0.54393,1.08696,0.86736,0.99782,0.00160099,0.00160099,0.00160099
6,1460.94,1.05964,0.84616,0.98997,0.743,0.74277,0.79855,0.57016,1.04691,0.82114,0.98723,0.00158448,0.00158448,0.00158448
7,1701.59,1.04725,0.82447,0.98812,0.76177,0.73657,0.79144,0.56538,1.06228,0.82747,0.99424,0.00156798,0.00156798,0.00156798
8,1943.66,1.05185,0.81352,0.98963,0.75597,0.73602,0.79306,0.56621,1.04637,0.82899,0.98756,0.00155148,0.00155148,0.00155148
9,2185.6,1.04115,0.80823,0.98288,0.73695,0.72214,0.77127,0.55439,1.04547,0.85533,0.98812,0.00153497,0.00153497,0.00153497
10,2428.45,1.04486,0.79914,0.98535,0.7655,0.74436,0.79824,0.57253,1.04144,0.79965,0.98497,0.00151847,0.00151847,0.00151847
11,2669.57,1.0452,0.79856,0.98634,0.73628,0.74405,0.78849,0.56484,1.05907,0.84101,0.99071,0.00150197,0.00150197,0.00150197
12,2912.16,1.04252,0.79477,0.9882,0.75798,0.73367,0.80438,0.5727,1.04785,0.81116,0.98518,0.00148546,0.00148546,0.00148546
13,3153.84,1.03277,0.7791,0.98142,0.75134,0.74801,0.80184,0.57594,1.04181,0.79445,0.98343,0.00146896,0.00146896,0.00146896
14,3396.53,1.03414,0.77449,0.98024,0.76946,0.76409,0.81502,0.5865,1.03283,0.77024,0.98104,0.00145246,0.00145246,0.00145246
15,3640.45,1.03164,0.76806,0.97935,0.7784,0.74937,0.8091,0.58199,1.04031,0.78678,0.98572,0.00143595,0.00143595,0.00143595
16,3883.11,1.03709,0.764,0.98257,0.76084,0.7511,0.80197,0.57615,1.04973,0.79969,0.98807,0.00141945,0.00141945,0.00141945
17,4125.46,1.04096,0.76786,0.98411,0.76828,0.75114,0.80986,0.58491,1.03535,0.7763,0.98473,0.00140295,0.00140295,0.00140295
18,4366.03,1.01678,0.74706,0.97542,0.76311,0.75568,0.81157,0.58822,1.02766,0.76837,0.97833,0.00138644,0.00138644,0.00138644
19,4608.1,1.02706,0.75134,0.98182,0.77312,0.75507,0.81172,0.58634,1.02637,0.77323,0.98198,0.00136994,0.00136994,0.00136994
20,4850.59,1.02084,0.74745,0.97729,0.78663,0.75134,0.81333,0.5894,1.03364,0.7672,0.98486,0.00135344,0.00135344,0.00135344
21,5092.62,1.02204,0.73352,0.97441,0.78954,0.74926,0.81765,0.59176,1.02414,0.75766,0.98088,0.00133693,0.00133693,0.00133693
22,5335.15,1.0236,0.73123,0.97746,0.78161,0.76032,0.8181,0.59272,1.02699,0.75485,0.97941,0.00132043,0.00132043,0.00132043
23,5576.22,1.01683,0.72681,0.97547,0.79292,0.76374,0.82463,0.59801,1.02067,0.74243,0.97478,0.00130393,0.00130393,0.00130393
24,5817.81,1.00228,0.72357,0.9718,0.77345,0.75554,0.81052,0.58434,1.02625,0.77877,0.98083,0.00128742,0.00128742,0.00128742
25,6058.6,1.01758,0.72586,0.97422,0.79287,0.75971,0.82027,0.59554,1.02061,0.74269,0.97863,0.00127092,0.00127092,0.00127092
26,6299.58,1.00305,0.71444,0.97143,0.78308,0.76962,0.823,0.59776,1.02217,0.73837,0.98234,0.00125442,0.00125442,0.00125442
27,6539.36,0.99904,0.70552,0.96632,0.77524,0.76426,0.81695,0.58902,1.03101,0.75041,0.98406,0.00123791,0.00123791,0.00123791
28,6780.42,0.99533,0.70263,0.96629,0.78058,0.77538,0.82547,0.59926,1.01214,0.7392,0.97682,0.00122141,0.00122141,0.00122141
29,7022.49,1.00046,0.71074,0.9699,0.79246,0.77033,0.82718,0.60359,1.00877,0.73181,0.97489,0.00120491,0.00120491,0.00120491
30,7264.15,1.00503,0.70353,0.96956,0.78735,0.768,0.82558,0.60089,1.01527,0.73528,0.97814,0.0011884,0.0011884,0.0011884
31,7505.64,0.99556,0.7019,0.96916,0.79712,0.76025,0.82824,0.60481,1.00879,0.72719,0.97611,0.0011719,0.0011719,0.0011719
32,7746.93,0.98704,0.69502,0.96534,0.79692,0.7728,0.8322,0.60727,1.00602,0.71792,0.97482,0.0011554,0.0011554,0.0011554
33,7988.34,0.99229,0.6948,0.96504,0.79384,0.76956,0.82846,0.60392,1.00667,0.72241,0.97713,0.00113889,0.00113889,0.00113889
34,8230.46,1.00057,0.69341,0.96791,0.80007,0.77839,0.83185,0.60709,1.01243,0.71547,0.9809,0.00112239,0.00112239,0.00112239
35,8472.09,0.98108,0.68149,0.96034,0.8035,0.76994,0.83115,0.60881,1.01126,0.70942,0.9749,0.00110589,0.00110589,0.00110589
36,8713.34,0.98127,0.6765,0.96224,0.79481,0.7731,0.82782,0.60608,1.00625,0.70899,0.97499,0.00108938,0.00108938,0.00108938
37,8954.82,0.97506,0.67609,0.95877,0.79503,0.77519,0.83175,0.60675,1.00234,0.70508,0.97218,0.00107288,0.00107288,0.00107288
38,9195.53,0.97486,0.66989,0.95829,0.78266,0.77771,0.82971,0.60871,1.00796,0.7111,0.97496,0.00105638,0.00105638,0.00105638
39,9436.14,0.97847,0.6677,0.96029,0.80158,0.78199,0.83493,0.61201,1.00077,0.69705,0.97352,0.00103987,0.00103987,0.00103987
40,9675.12,0.96883,0.66304,0.95547,0.80535,0.76805,0.82898,0.60646,1.0093,0.70899,0.97914,0.00102337,0.00102337,0.00102337
41,9915.95,0.97553,0.66126,0.95812,0.79727,0.77574,0.83474,0.60934,1.0019,0.70644,0.97731,0.00100687,0.00100687,0.00100687
42,10155.9,0.97334,0.66241,0.95772,0.81012,0.77439,0.83434,0.60875,1.00349,0.69962,0.9778,0.000990365,0.000990365,0.000990365
43,10397.6,0.97957,0.66743,0.95909,0.80304,0.77536,0.8357,0.6116,1.00573,0.69971,0.97403,0.000973861,0.000973861,0.000973861
44,10637.3,0.97366,0.66138,0.95627,0.78439,0.7885,0.83403,0.61109,1.00107,0.70388,0.97649,0.000957358,0.000957358,0.000957358
45,10879.5,0.96409,0.64958,0.95217,0.8076,0.77069,0.83352,0.60992,0.9993,0.70146,0.97126,0.000940855,0.000940855,0.000940855
46,11120.6,0.96037,0.6471,0.95532,0.79849,0.77675,0.83504,0.61119,0.99943,0.69704,0.97352,0.000924352,0.000924352,0.000924352
47,11362.6,0.96542,0.64511,0.95252,0.79424,0.78832,0.83715,0.6153,0.99575,0.69288,0.97094,0.000907848,0.000907848,0.000907848
48,11603.4,0.95856,0.64262,0.94895,0.80076,0.7844,0.83531,0.61324,0.99959,0.69297,0.9744,0.000891345,0.000891345,0.000891345
49,11844.7,0.96692,0.64675,0.95428,0.80353,0.7824,0.84071,0.61627,0.9952,0.68316,0.97086,0.000874842,0.000874842,0.000874842
50,12086.8,0.9617,0.64283,0.95042,0.81373,0.77805,0.83583,0.6137,1.00156,0.69001,0.97278,0.000858338,0.000858338,0.000858338
51,12327.2,0.9544,0.63512,0.9481,0.80374,0.77953,0.83675,0.61373,1.00254,0.69254,0.97408,0.000841835,0.000841835,0.000841835
52,12568.9,0.96141,0.63921,0.95217,0.80113,0.78583,0.83896,0.61579,1.0005,0.68524,0.97414,0.000825332,0.000825332,0.000825332
53,12810.9,0.95985,0.63454,0.95137,0.80411,0.7766,0.837,0.61304,1.00158,0.69087,0.97531,0.000808828,0.000808828,0.000808828
54,13051,0.96,0.63503,0.94986,0.80352,0.77895,0.8384,0.61863,0.9932,0.67943,0.97269,0.000792325,0.000792325,0.000792325
55,13291.1,0.94895,0.6298,0.9474,0.80425,0.79038,0.8385,0.61656,0.99678,0.68277,0.97415,0.000775822,0.000775822,0.000775822
56,13532.9,0.94827,0.6222,0.94712,0.81406,0.77931,0.8403,0.61696,0.99255,0.67918,0.97199,0.000759318,0.000759318,0.000759318
57,13773.8,0.94358,0.61987,0.94384,0.80954,0.77634,0.83924,0.61773,0.99457,0.67959,0.97382,0.000742815,0.000742815,0.000742815
58,14013.1,0.94291,0.61429,0.94513,0.81551,0.77765,0.8392,0.61852,0.99581,0.67964,0.9757,0.000726312,0.000726312,0.000726312
59,14253.5,0.93491,0.61362,0.94409,0.80632,0.77623,0.83926,0.61662,0.99647,0.68246,0.97425,0.000709809,0.000709809,0.000709809
60,14493.9,0.94009,0.60931,0.94285,0.80939,0.78735,0.84076,0.6179,1.00313,0.67641,0.97847,0.000693305,0.000693305,0.000693305
61,14735.2,0.93364,0.60515,0.94135,0.80058,0.78057,0.83836,0.61807,0.99879,0.68075,0.97634,0.000676802,0.000676802,0.000676802
62,14976,0.9444,0.61127,0.9445,0.80698,0.77721,0.83735,0.61579,0.99639,0.68145,0.97554,0.000660299,0.000660299,0.000660299
63,15217.6,0.92949,0.60662,0.94144,0.81325,0.77696,0.84012,0.61845,0.99766,0.67906,0.97481,0.000643795,0.000643795,0.000643795
64,15457.7,0.93238,0.60442,0.93914,0.80624,0.79125,0.8422,0.62074,0.99272,0.6706,0.97425,0.000627292,0.000627292,0.000627292
65,15698.8,0.93153,0.60414,0.94014,0.80614,0.78286,0.84056,0.61823,0.99775,0.67795,0.97652,0.000610789,0.000610789,0.000610789
66,15938.8,0.93071,0.59686,0.9416,0.80557,0.78071,0.84038,0.6191,0.99549,0.66979,0.97229,0.000594286,0.000594286,0.000594286
67,16180,0.92972,0.59776,0.9378,0.79572,0.78829,0.841,0.61971,0.99104,0.67476,0.97219,0.000577782,0.000577782,0.000577782
