epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.231,0.98912,1.90374,0.97115,0.69534,0.74396,0.77687,0.55114,1.03015,0.89506,0.99017,0.000554088,0.000554088,0.000554088
2,690.385,0.9978,0.84896,0.9733,0.73199,0.74463,0.78714,0.56106,1.02639,0.84783,0.98699,0.00109877,0.00109877,0.00109877
3,1030.54,1.02869,0.84419,0.98273,0.74764,0.73483,0.79085,0.56667,1.02809,0.82056,0.98503,0.00163245,0.00163245,0.00163245
4,1370.53,1.02871,0.81698,0.98493,0.73721,0.74428,0.78904,0.55499,1.06577,0.85169,1.0001,0.00161749,0.00161749,0.00161749
5,1711.32,1.03251,0.80733,0.98571,0.72188,0.7408,0.78408,0.55997,1.0458,0.84805,0.99743,0.00160099,0.00160099,0.00160099
6,2051.07,1.01987,0.79397,0.98142,0.77103,0.74313,0.80045,0.57608,1.02987,0.80014,0.98908,0.00158448,0.00158448,0.00158448
7,2389.59,1.00919,0.77818,0.97975,0.7552,0.74183,0.79043,0.5683,1.03682,0.8297,0.99437,0.00156798,0.00156798,0.00156798
8,2729.18,1.01973,0.76938,0.9835,0.7643,0.75599,0.806,0.58649,1.01406,0.78225,0.98159,0.00155148,0.00155148,0.00155148
9,3068.73,1.00067,0.7552,0.97319,0.78222,0.76733,0.82148,0.59616,1.0167,0.73689,0.98304,0.00153497,0.00153497,0.00153497
10,3409.13,1.00453,0.7498,0.97637,0.78385,0.76148,0.81719,0.5923,1.01564,0.75905,0.9767,0.00151847,0.00151847,0.00151847
11,3747.23,0.99923,0.74356,0.97508,0.77914,0.7497,0.81419,0.58982,1.02785,0.76868,0.98566,0.00150197,0.00150197,0.00150197
12,4086.36,1.00214,0.74164,0.97811,0.7945,0.75536,0.82178,0.59543,1.02237,0.74639,0.98035,0.00148546,0.00148546,0.00148546
13,4424.07,0.98973,0.71977,0.97015,0.78535,0.76209,0.82424,0.59963,1.0144,0.73508,0.98391,0.00146896,0.00146896,0.00146896
