epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,342.427,0.88554,0.54453,0.92913,0.80784,0.79511,0.84905,0.62558,0.98909,0.67762,0.97671,0.000552509,0.000552509,0.000552509
2,674.86,0.9098,0.58042,0.94121,0.80761,0.78092,0.83581,0.61285,1.0232,0.69653,0.9937,0.00108623,0.00108623,0.00108623
3,1006.99,0.92983,0.5993,0.94515,0.78321,0.77599,0.8222,0.60041,1.01898,0.73163,0.99039,0.00159795,0.00159795,0.00159795
4,1339.77,0.94365,0.62108,0.94745,0.78921,0.77917,0.83047,0.60748,1.02432,0.7148,0.99357,0.00156798,0.00156798,0.00156798
5,1671.35,0.94906,0.62292,0.95059,0.7892,0.77559,0.82621,0.60129,1.01012,0.72359,0.98667,0.00153497,0.00153497,0.00153497
6,2001.55,0.93299,0.61174,0.948,0.80449,0.77601,0.83738,0.61037,1.01377,0.70251,0.98657,0.00150197,0.00150197,0.00150197
7,2333.78,0.93854,0.61182,0.94798,0.78888,0.77793,0.82507,0.6028,1.01692,0.74139,0.98983,0.00146896,0.00146896,0.00146896
8,2666.02,0.93973,0.61233,0.94923,0.79942,0.7706,0.82821,0.60363,1.02036,0.71425,0.99153,0.00143595,0.00143595,0.00143595
9,2997.19,0.93532,0.60718,0.94505,0.79628,0.78523,0.83451,0.609,1.00993,0.71364,0.97959,0.00140295,0.00140295,0.00140295
10,3327.99,0.92246,0.60304,0.94231,0.80422,0.78292,0.84205,0.61625,1.00939,0.69367,0.98188,0.00136994,0.00136994,0.00136994
11,3659.26,0.92659,0.59475,0.94328,0.80868,0.78318,0.84226,0.61923,1.00875,0.68571,0.99249,0.00133693,0.00133693,0.00133693
