epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,339.592,0.87942,0.54162,0.92919,0.81903,0.79452,0.84993,0.62856,0.98667,0.66061,0.98171,0.000549352,0.000549352,0.000549352
2,672.385,0.88945,0.55816,0.93144,0.78567,0.78012,0.82519,0.60567,1.00388,0.738,0.98833,0.00108314,0.00108314,0.00108314
3,1073.7,0.9254,0.59637,0.94103,0.77752,0.75933,0.80953,0.58629,1.04675,0.78081,1.00464,0.00159492,0.00159492,0.00159492
4,1405.53,0.93328,0.61516,0.94669,0.78418,0.7788,0.82968,0.60644,1.0085,0.71979,0.99022,0.00156798,0.00156798,0.00156798
5,1738.95,0.94284,0.62238,0.95193,0.79151,0.77046,0.82798,0.59941,1.0203,0.73363,0.99256,0.00153497,0.00153497,0.00153497
6,2072.53,0.94264,0.61595,0.94906,0.78274,0.78311,0.82741,0.60483,1.0113,0.72875,0.99074,0.00150197,0.00150197,0.00150197
7,2406.67,0.9327,0.60787,0.94722,0.80981,0.78685,0.83983,0.61267,1.00782,0.70109,0.99139,0.00146896,0.00146896,0.00146896
8,2739.98,0.92085,0.59867,0.94497,0.79073,0.78087,0.83135,0.60628,1.01578,0.71413,0.99264,0.00143595,0.00143595,0.00143595
9,3074.2,0.93372,0.60528,0.94735,0.79573,0.77482,0.83267,0.60597,1.02473,0.7231,0.99347,0.00140295,0.00140295,0.00140295
10,3406.71,0.92456,0.59516,0.94386,0.8027,0.79031,0.83875,0.61405,1.01257,0.68379,0.98815,0.00136994,0.00136994,0.00136994
11,3739.34,0.92678,0.59383,0.94331,0.80141,0.78985,0.84283,0.61813,1.00253,0.68379,0.98298,0.00133693,0.00133693,0.00133693
