epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.91,1.33304,1.36926,1.07748,0.51653,0.53312,0.49306,0.31202,1.28684,1.74145,1.07221,0.000554088,0.000554088,0.000554088
2,360.9,1.32049,1.14323,1.06169,0.60936,0.58358,0.59065,0.37067,1.25913,1.18819,1.03871,0.00109877,0.00109877,0.00109877
3,536.61,1.29364,1.10387,1.05122,0.57086,0.57485,0.59746,0.37553,1.22802,1.14526,1.02208,0.00163245,0.00163245,0.00163245
4,712.319,1.24196,1.03628,1.03604,0.63039,0.55794,0.57432,0.35813,1.28778,1.17335,1.04149,0.00161749,0.00161749,0.00161749
5,886.795,1.21147,0.99852,1.02306,0.65092,0.62377,0.6519,0.42384,1.16452,0.96841,0.99443,0.00160099,0.00160099,0.00160099
6,1061.03,1.17287,0.95455,1.0106,0.6586,0.60861,0.64433,0.42592,1.1251,0.95606,0.98159,0.00158448,0.00158448,0.00158448
7,1235.86,1.14464,0.93063,1.00298,0.6585,0.63454,0.67274,0.44693,1.10586,0.94038,0.97875,0.00156798,0.00156798,0.00156798
8,1411.81,1.13229,0.90986,0.99971,0.65774,0.61404,0.64037,0.42289,1.13038,1.01142,0.99143,0.00155148,0.00155148,0.00155148
9,1586.57,1.11345,0.90115,0.99074,0.65576,0.60778,0.63242,0.42207,1.13892,1.05972,0.98257,0.00153497,0.00153497,0.00153497
10,1761.6,1.1018,0.87569,0.98655,0.69513,0.66968,0.70624,0.47974,1.04393,0.82421,0.96076,0.00151847,0.00151847,0.00151847
11,1936.77,1.09892,0.85839,0.98796,0.68839,0.67252,0.71489,0.48787,1.03065,0.79963,0.94595,0.00150197,0.00150197,0.00150197
12,2111.88,1.09,0.85323,0.98423,0.66511,0.65206,0.69311,0.46507,1.06429,0.86214,0.95954,0.00148546,0.00148546,0.00148546
13,2287.55,1.07017,0.82732,0.97621,0.65525,0.66952,0.71004,0.48208,1.01232,0.86251,0.94552,0.00146896,0.00146896,0.00146896
14,2461.83,1.0681,0.82136,0.97401,0.69247,0.67825,0.71682,0.48976,1.01904,0.82326,0.94882,0.00145246,0.00145246,0.00145246
15,2636.35,1.04905,0.8146,0.96719,0.697,0.67486,0.72312,0.49685,1.01297,0.78368,0.94902,0.00143595,0.00143595,0.00143595
16,2811.64,1.05768,0.80495,0.97047,0.66775,0.64668,0.68976,0.46911,1.03676,0.86966,0.95417,0.00141945,0.00141945,0.00141945
