epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7782,1.60161,1.89875,1.11887,0.54152,0.5295,0.51822,0.30585,1.367,1.29124,1.01436,0.000554088,0.000554088,0.000554088
2,172.036,1.41732,1.3212,1.04834,0.56186,0.55019,0.54802,0.33764,1.29556,1.22817,1.0016,0.00109877,0.00109877,0.00109877
3,253.08,1.37406,1.20233,1.03662,0.59095,0.58094,0.59381,0.37387,1.27807,1.07914,0.98449,0.00163245,0.00163245,0.00163245
4,333.538,1.31885,1.12189,1.02594,0.5911,0.56509,0.59077,0.37274,1.27613,1.07557,0.98242,0.00161749,0.00161749,0.00161749
5,414.2,1.28281,1.08563,1.01467,0.62152,0.60025,0.62426,0.40276,1.21524,1.01141,0.98091,0.00160099,0.00160099,0.00160099
6,494.491,1.24439,1.0424,1.00308,0.62376,0.5803,0.62059,0.4083,1.18193,0.98817,0.96467,0.00158448,0.00158448,0.00158448
7,574.885,1.21996,1.02238,1.00007,0.6618,0.63339,0.66711,0.43635,1.13523,0.93988,0.9586,0.00156798,0.00156798,0.00156798
8,655.398,1.21044,0.99233,0.99316,0.64035,0.61033,0.64632,0.41891,1.15248,0.96144,0.95976,0.00155148,0.00155148,0.00155148
9,735.737,1.19926,0.97586,0.98959,0.66398,0.61838,0.65814,0.43938,1.11668,0.93449,0.94917,0.00153497,0.00153497,0.00153497
10,816.427,1.18468,0.96349,0.98567,0.67505,0.61956,0.66973,0.44583,1.10915,0.90694,0.95417,0.00151847,0.00151847,0.00151847
11,897.122,1.1763,0.94463,0.98377,0.65209,0.60745,0.64999,0.432,1.12895,0.93649,0.95165,0.00150197,0.00150197,0.00150197
12,977.652,1.17162,0.93866,0.98595,0.67059,0.62161,0.66881,0.44251,1.10456,0.90538,0.94616,0.00148546,0.00148546,0.00148546
13,1057.84,1.14922,0.90549,0.97688,0.63815,0.64183,0.67599,0.44802,1.09305,0.93155,0.94341,0.00146896,0.00146896,0.00146896
14,1138.09,1.14406,0.89932,0.97308,0.68146,0.63594,0.68049,0.45772,1.10039,0.87785,0.95183,0.00145246,0.00145246,0.00145246
15,1218.38,1.13647,0.89722,0.97184,0.69636,0.64616,0.69866,0.47115,1.06746,0.83715,0.93897,0.00143595,0.00143595,0.00143595
16,1298.72,1.13606,0.88775,0.97177,0.64208,0.6598,0.68162,0.45527,1.06631,0.92689,0.94261,0.00141945,0.00141945,0.00141945
17,1378.93,1.14307,0.88419,0.97504,0.68495,0.64594,0.70543,0.47828,1.05683,0.83071,0.93111,0.00140295,0.00140295,0.00140295
18,1459.03,1.10892,0.86378,0.96393,0.66572,0.65837,0.70228,0.47037,1.07975,0.83933,0.93846,0.00138644,0.00138644,0.00138644
19,1538.98,1.11997,0.86622,0.97257,0.70047,0.66365,0.70538,0.47995,1.06197,0.81976,0.94345,0.00136994,0.00136994,0.00136994
20,1619.03,1.10725,0.84891,0.96586,0.69588,0.65295,0.70673,0.47908,1.05025,0.82345,0.93505,0.00135344,0.00135344,0.00135344
21,1699.27,1.10443,0.83969,0.96022,0.71148,0.65922,0.71885,0.49154,1.03834,0.79222,0.93058,0.00133693,0.00133693,0.00133693
22,1779.44,1.10835,0.8432,0.96235,0.70291,0.66976,0.71859,0.49124,1.04117,0.79725,0.93017,0.00132043,0.00132043,0.00132043
23,1859.58,1.09979,0.8356,0.96071,0.69454,0.6492,0.70001,0.47756,1.05039,0.8252,0.92926,0.00130393,0.00130393,0.00130393
24,1940.02,1.0841,0.82577,0.95817,0.69999,0.671,0.71282,0.4885,1.02682,0.8074,0.92978,0.00128742,0.00128742,0.00128742
25,2020.88,1.10108,0.82601,0.96082,0.70749,0.67559,0.72926,0.49883,1.02225,0.76781,0.92503,0.00127092,0.00127092,0.00127092
26,2100.94,1.0777,0.81523,0.955,0.72238,0.66741,0.72672,0.49533,1.02959,0.77074,0.9283,0.00125442,0.00125442,0.00125442
27,2181.43,1.07264,0.79974,0.94997,0.7245,0.67649,0.72943,0.49809,1.03239,0.79168,0.93007,0.00123791,0.00123791,0.00123791
28,2261.91,1.07126,0.79314,0.95423,0.71397,0.67618,0.72531,0.50001,1.01538,0.78368,0.92616,0.00122141,0.00122141,0.00122141
29,2342.17,1.07249,0.80426,0.95464,0.72978,0.6726,0.73365,0.50257,1.02289,0.77304,0.92506,0.00120491,0.00120491,0.00120491
30,2422.34,1.08055,0.78939,0.95593,0.72949,0.67337,0.73107,0.50303,1.0212,0.76188,0.9244,0.0011884,0.0011884,0.0011884
31,2502.66,1.06489,0.78626,0.95242,0.71624,0.67375,0.72848,0.50527,1.00816,0.76068,0.92209,0.0011719,0.0011719,0.0011719
32,2583.03,1.05273,0.77381,0.94828,0.72546,0.69512,0.74023,0.5114,1.00217,0.7547,0.91901,0.0011554,0.0011554,0.0011554
33,2663.29,1.06298,0.77405,0.94879,0.71092,0.67061,0.72662,0.4972,1.02668,0.77201,0.92433,0.00113889,0.00113889,0.00113889
34,2743.61,1.06338,0.76765,0.95092,0.73126,0.68651,0.74227,0.51127,1.00446,0.75344,0.9204,0.00112239,0.00112239,0.00112239
35,2823.56,1.04404,0.75523,0.94401,0.73448,0.68188,0.74173,0.51701,1.00172,0.73253,0.92067,0.00110589,0.00110589,0.00110589
36,2903.72,1.0441,0.75562,0.94589,0.73059,0.68805,0.74123,0.51393,0.99991,0.74077,0.92245,0.00108938,0.00108938,0.00108938
37,2983.84,1.04164,0.74838,0.9438,0.73037,0.68886,0.74262,0.51644,0.99285,0.73887,0.91853,0.00107288,0.00107288,0.00107288
38,3063.96,1.03661,0.74394,0.94401,0.73176,0.69518,0.74876,0.51889,0.98215,0.72406,0.91654,0.00105638,0.00105638,0.00105638
39,3144.03,1.03574,0.73881,0.94423,0.74013,0.69618,0.75129,0.52138,1.00197,0.71555,0.91862,0.00103987,0.00103987,0.00103987
40,3224.08,1.02861,0.72876,0.93856,0.73435,0.68995,0.74396,0.51688,1.0002,0.72747,0.92095,0.00102337,0.00102337,0.00102337
41,3304.17,1.02529,0.72763,0.93819,0.72494,0.69855,0.75109,0.52188,0.98708,0.7215,0.91828,0.00100687,0.00100687,0.00100687
42,3384.08,1.02876,0.72684,0.93879,0.74525,0.69434,0.75292,0.5275,0.97122,0.70062,0.91226,0.000990365,0.000990365,0.000990365
43,3464.18,1.03732,0.73322,0.94189,0.74253,0.69234,0.7479,0.5237,0.98541,0.7151,0.91672,0.000973861,0.000973861,0.000973861
44,3544.02,1.03046,0.7262,0.93972,0.73424,0.69173,0.74664,0.52551,0.97693,0.70497,0.91459,0.000957358,0.000957358,0.000957358
45,3623.65,1.01601,0.71906,0.93575,0.73811,0.6941,0.74987,0.52251,0.98409,0.7048,0.91919,0.000940855,0.000940855,0.000940855
46,3703.66,1.01482,0.7192,0.93879,0.74645,0.69472,0.75076,0.52522,0.98548,0.7137,0.91695,0.000924352,0.000924352,0.000924352
47,3783.76,1.02377,0.71085,0.93488,0.75091,0.69155,0.75288,0.52619,0.9836,0.71179,0.91511,0.000907848,0.000907848,0.000907848
48,3863.85,1.01155,0.70615,0.93177,0.75744,0.69871,0.76128,0.53429,0.97333,0.68161,0.91253,0.000891345,0.000891345,0.000891345
49,3944.08,1.02349,0.71068,0.93596,0.75133,0.70143,0.76029,0.53225,0.97062,0.68592,0.91093,0.000874842,0.000874842,0.000874842
50,4024.37,1.01557,0.70917,0.93515,0.75183,0.70192,0.76052,0.53179,0.9778,0.68967,0.91588,0.000858338,0.000858338,0.000858338
51,4104.33,1.00502,0.69199,0.93054,0.74775,0.71085,0.7636,0.53433,0.96434,0.68319,0.91086,0.000841835,0.000841835,0.000841835
52,4184.89,1.01351,0.69605,0.93372,0.75774,0.70175,0.76338,0.53668,0.96499,0.68002,0.91302,0.000825332,0.000825332,0.000825332
53,4265.35,1.00936,0.69101,0.93225,0.75683,0.69944,0.76153,0.53678,0.9674,0.68144,0.91376,0.000808828,0.000808828,0.000808828
54,4345.81,1.0031,0.68704,0.92828,0.74414,0.7107,0.76331,0.53727,0.9676,0.67296,0.91277,0.000792325,0.000792325,0.000792325
55,4426.21,0.99872,0.68241,0.93022,0.7413,0.71153,0.76161,0.53397,0.96771,0.68211,0.91288,0.000775822,0.000775822,0.000775822
56,4506.55,0.99679,0.67834,0.92988,0.75555,0.69459,0.75993,0.53476,0.96395,0.67836,0.91159,0.000759318,0.000759318,0.000759318
57,4586.58,0.9859,0.67357,0.92531,0.76467,0.70741,0.76396,0.54026,0.95536,0.67379,0.91101,0.000742815,0.000742815,0.000742815
58,4666.95,0.99299,0.6712,0.92824,0.75867,0.70091,0.76238,0.53794,0.96191,0.67467,0.91154,0.000726312,0.000726312,0.000726312
59,4747.4,0.98324,0.66887,0.92875,0.76251,0.70439,0.768,0.54307,0.95003,0.6668,0.90916,0.000709809,0.000709809,0.000709809
60,4827.61,0.97941,0.66078,0.92234,0.75798,0.70201,0.76247,0.53877,0.95933,0.67688,0.90999,0.000693305,0.000693305,0.000693305
61,4907.79,0.97984,0.65761,0.9258,0.76144,0.71084,0.76876,0.54322,0.95498,0.66183,0.90998,0.000676802,0.000676802,0.000676802
62,4987.95,0.98619,0.66232,0.92585,0.766,0.70495,0.77044,0.54592,0.95057,0.65548,0.90973,0.000660299,0.000660299,0.000660299
63,5068.19,0.97099,0.65462,0.92188,0.76025,0.71396,0.76887,0.5435,0.95492,0.65992,0.90854,0.000643795,0.000643795,0.000643795
64,5148.58,0.97152,0.65415,0.92146,0.76347,0.71456,0.77303,0.54626,0.95101,0.6514,0.90839,0.000627292,0.000627292,0.000627292
65,5228.75,0.975,0.65242,0.92296,0.76362,0.71271,0.77012,0.54489,0.94902,0.65634,0.90787,0.000610789,0.000610789,0.000610789
66,5308.98,0.97672,0.65079,0.92418,0.76065,0.71252,0.77069,0.54421,0.95108,0.65433,0.90953,0.000594286,0.000594286,0.000594286
67,5389.16,0.96697,0.64335,0.91996,0.7711,0.70911,0.76819,0.54373,0.95085,0.65188,0.90942,0.000577782,0.000577782,0.000577782
68,5469.65,0.96877,0.64127,0.91872,0.77432,0.70546,0.77013,0.5459,0.94474,0.64714,0.9075,0.000561279,0.000561279,0.000561279
69,5549.73,0.96174,0.63768,0.91725,0.76504,0.70958,0.7707,0.54681,0.94182,0.64782,0.90704,0.000544776,0.000544776,0.000544776
70,5629.81,0.95907,0.63122,0.91735,0.7747,0.70733,0.77186,0.54709,0.945,0.64742,0.90754,0.000528272,0.000528272,0.000528272
71,5710.29,0.96742,0.63507,0.92102,0.77217,0.71038,0.77272,0.54851,0.94238,0.64787,0.90713,0.000511769,0.000511769,0.000511769
