epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.801,1.38361,1.54814,1.07931,0.51748,0.54208,0.53769,0.33506,1.2702,1.27488,1.02655,0.000554088,0.000554088,0.000554088
2,218.247,1.30411,1.12534,1.03239,0.58298,0.57829,0.56661,0.3567,1.22121,1.20383,0.9933,0.00109877,0.00109877,0.00109877
3,324.524,1.29191,1.09234,1.02566,0.60943,0.6002,0.61215,0.3888,1.22653,1.07353,0.98714,0.00163245,0.00163245,0.00163245
4,430.148,1.24205,1.0366,1.01362,0.6193,0.59728,0.632,0.39799,1.22697,1.01643,0.98728,0.00161749,0.00161749,0.00161749
5,536.268,1.22047,1.00417,1.0061,0.65482,0.62852,0.65887,0.42918,1.16219,0.95851,0.97073,0.00160099,0.00160099,0.00160099
6,641.789,1.18436,0.9636,0.99364,0.65958,0.6323,0.66519,0.43552,1.13851,0.91173,0.96501,0.00158448,0.00158448,0.00158448
7,746.99,1.15221,0.9363,0.98623,0.67386,0.642,0.6734,0.44324,1.12015,0.89875,0.9652,0.00156798,0.00156798,0.00156798
8,852.951,1.15834,0.92941,0.98607,0.66926,0.60282,0.65397,0.43734,1.08802,0.94839,0.95461,0.00155148,0.00155148,0.00155148
9,957.883,1.1344,0.90841,0.97656,0.66333,0.65355,0.67909,0.4579,1.0713,0.88259,0.94656,0.00153497,0.00153497,0.00153497
10,1063.87,1.12755,0.89822,0.97435,0.68924,0.6391,0.68022,0.456,1.08257,0.89341,0.94803,0.00151847,0.00151847,0.00151847
11,1168.98,1.11523,0.87329,0.97325,0.69146,0.64076,0.68589,0.45893,1.09611,0.86061,0.95197,0.00150197,0.00150197,0.00150197
12,1273.89,1.1143,0.86527,0.97532,0.7013,0.66448,0.71402,0.48344,1.03764,0.81043,0.93838,0.00148546,0.00148546,0.00148546
13,1378.61,1.09081,0.83977,0.96588,0.59922,0.61809,0.65278,0.43813,1.06087,0.97416,0.94467,0.00146896,0.00146896,0.00146896
14,1483.4,1.08825,0.82904,0.96268,0.66755,0.67139,0.70513,0.48226,1.0444,0.82508,0.93639,0.00145246,0.00145246,0.00145246
15,1588.46,1.07403,0.83015,0.95943,0.70167,0.66044,0.71042,0.48592,1.03032,0.80074,0.93504,0.00143595,0.00143595,0.00143595
16,1693.77,1.0796,0.81575,0.96174,0.6739,0.6687,0.71005,0.4804,1.03185,0.82385,0.93795,0.00141945,0.00141945,0.00141945
17,1799.04,1.08444,0.8111,0.96346,0.71599,0.67115,0.72102,0.49159,1.03864,0.7835,0.94047,0.00140295,0.00140295,0.00140295
18,1903.84,1.05268,0.79317,0.95297,0.71246,0.65426,0.7096,0.48859,1.02538,0.79479,0.93218,0.00138644,0.00138644,0.00138644
19,2008.45,1.0569,0.79307,0.95765,0.71548,0.67815,0.73203,0.50513,1.00476,0.76205,0.92788,0.00136994,0.00136994,0.00136994
20,2112.19,1.04728,0.78789,0.95498,0.72243,0.6819,0.73412,0.5031,1.01572,0.76794,0.93225,0.00135344,0.00135344,0.00135344
21,2216.15,1.04742,0.77755,0.94855,0.73573,0.68571,0.74027,0.51342,1.00701,0.74457,0.92933,0.00133693,0.00133693,0.00133693
22,2321.22,1.04483,0.76547,0.94898,0.71157,0.69351,0.73802,0.51281,0.99816,0.76452,0.92442,0.00132043,0.00132043,0.00132043
23,2425.68,1.04181,0.76482,0.94833,0.74755,0.68524,0.74706,0.51709,1.00183,0.74411,0.92551,0.00130393,0.00130393,0.00130393
24,2530.66,1.02385,0.7552,0.94603,0.73707,0.69138,0.74332,0.51868,0.98252,0.73509,0.92105,0.00128742,0.00128742,0.00128742
25,2635.25,1.03572,0.74973,0.94653,0.7431,0.69162,0.75561,0.52805,0.97747,0.71331,0.91761,0.00127092,0.00127092,0.00127092
26,2740.27,1.016,0.74732,0.9417,0.72845,0.69614,0.74333,0.51499,1.00372,0.73554,0.92382,0.00125442,0.00125442,0.00125442
27,2844.13,1.00849,0.73141,0.93607,0.74304,0.69697,0.7537,0.52613,0.98735,0.71632,0.92159,0.00123791,0.00123791,0.00123791
28,2949.26,1.00871,0.72395,0.93875,0.73799,0.69,0.74224,0.51788,0.97843,0.73646,0.9212,0.00122141,0.00122141,0.00122141
29,3054.14,1.00631,0.72626,0.94124,0.74637,0.69656,0.75524,0.52877,0.97234,0.70188,0.92035,0.00120491,0.00120491,0.00120491
30,3159.23,1.01659,0.7203,0.94182,0.74732,0.69989,0.75982,0.53382,0.96831,0.6962,0.91852,0.0011884,0.0011884,0.0011884
31,3264.58,1.00541,0.72693,0.93814,0.74875,0.70477,0.76404,0.53576,0.96464,0.69557,0.9147,0.0011719,0.0011719,0.0011719
32,3369.73,0.99423,0.7107,0.93483,0.74285,0.69859,0.76248,0.53463,0.9681,0.70046,0.91826,0.0011554,0.0011554,0.0011554
33,3474.89,0.99599,0.70686,0.93364,0.75308,0.70302,0.76483,0.53667,0.95848,0.68095,0.91418,0.00113889,0.00113889,0.00113889
34,3580.23,1,0.7078,0.93623,0.75256,0.70354,0.76597,0.5385,0.9584,0.6897,0.91516,0.00112239,0.00112239,0.00112239
35,3684.52,0.98212,0.69094,0.92921,0.75706,0.71193,0.76603,0.53935,0.95987,0.67968,0.91491,0.00110589,0.00110589,0.00110589
36,3789.32,0.97969,0.68761,0.93061,0.75272,0.70503,0.76764,0.54272,0.95342,0.67863,0.91208,0.00108938,0.00108938,0.00108938
37,3893.75,0.97379,0.68093,0.928,0.75189,0.71602,0.76934,0.54527,0.94939,0.67546,0.91058,0.00107288,0.00107288,0.00107288
38,3998.18,0.97399,0.67791,0.92862,0.74652,0.71012,0.76438,0.54307,0.9533,0.67637,0.91267,0.00105638,0.00105638,0.00105638
39,4102.38,0.97407,0.67471,0.9298,0.76055,0.71124,0.77401,0.54696,0.9481,0.65961,0.91083,0.00103987,0.00103987,0.00103987
40,4207.12,0.96374,0.66826,0.92372,0.76633,0.71403,0.7743,0.55035,0.9367,0.65634,0.90716,0.00102337,0.00102337,0.00102337
41,4311.96,0.9619,0.66325,0.92293,0.76335,0.71212,0.77527,0.54974,0.9458,0.66421,0.91227,0.00100687,0.00100687,0.00100687
42,4416.57,0.97015,0.66934,0.92591,0.77028,0.70941,0.77834,0.55189,0.93365,0.64869,0.91013,0.000990365,0.000990365,0.000990365
43,4521.25,0.97269,0.66525,0.92583,0.76913,0.71342,0.77937,0.55538,0.93361,0.65371,0.90446,0.000973861,0.000973861,0.000973861
44,4625.72,0.9625,0.65315,0.92293,0.76445,0.72493,0.77999,0.55257,0.9323,0.64616,0.90863,0.000957358,0.000957358,0.000957358
45,4730.57,0.95125,0.64824,0.9195,0.76542,0.71236,0.77993,0.5552,0.9331,0.64285,0.90751,0.000940855,0.000940855,0.000940855
46,4834.44,0.9473,0.64805,0.92302,0.77528,0.71803,0.78219,0.55617,0.93564,0.64304,0.90964,0.000924352,0.000924352,0.000924352
47,4939.37,0.95654,0.64338,0.919,0.76291,0.7189,0.7799,0.5562,0.92911,0.64859,0.90671,0.000907848,0.000907848,0.000907848
48,5043.82,0.94322,0.63656,0.91506,0.76384,0.71504,0.77928,0.55374,0.93295,0.64804,0.90642,0.000891345,0.000891345,0.000891345
