epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1417.16,1.09317,0.81314,1.10215,0.7197,0.73382,0.76188,0.54239,1.14986,0.91997,1.1387,0.000554088,0.000554088,0.000554088
2,2790.68,1.07184,0.79804,1.08249,0.74751,0.7494,0.80147,0.57274,1.11543,0.87478,1.11468,0.00108778,0.00108778,0.00108778
3,4165.2,1.08566,0.81742,1.0826,0.74692,0.76093,0.80093,0.57296,1.12336,0.87902,1.11898,0.00159947,0.00159947,0.00159947
4,5536.64,1.07654,0.8111,1.08005,0.74952,0.73906,0.78955,0.56403,1.1207,0.89293,1.124,0.00156798,0.00156798,0.00156798
5,6911.67,1.07933,0.80217,1.07829,0.74148,0.71516,0.75517,0.54386,1.12474,0.96643,1.12082,0.00153497,0.00153497,0.00153497
6,8287.33,1.06059,0.78892,1.07016,0.77846,0.773,0.8229,0.59513,1.07909,0.83163,1.09158,0.00150197,0.00150197,0.00150197
7,9658.34,1.05462,0.77367,1.06784,0.77625,0.75544,0.81196,0.58666,1.09786,0.84676,1.10794,0.00146896,0.00146896,0.00146896
8,11032.2,1.05915,0.77141,1.06901,0.76312,0.77706,0.81511,0.59295,1.07029,0.84918,1.10076,0.00143595,0.00143595,0.00143595
9,12407.6,1.03913,0.74942,1.06011,0.77687,0.7583,0.80945,0.587,1.09215,0.84265,1.10768,0.00140295,0.00140295,0.00140295
10,13782.5,1.03463,0.74242,1.05719,0.79293,0.77916,0.83153,0.60759,1.06748,0.7994,1.09283,0.00136994,0.00136994,0.00136994
11,15189.6,1.03311,0.74311,1.05654,0.78819,0.76661,0.82457,0.59977,1.08169,0.81647,1.09469,0.00133693,0.00133693,0.00133693
12,16598.3,1.02697,0.73235,1.05543,0.78614,0.773,0.82773,0.60475,1.07205,0.7878,1.09414,0.00130393,0.00130393,0.00130393
13,17972.7,1.01441,0.72178,1.04608,0.79104,0.77735,0.8337,0.60745,1.06831,0.79598,1.08729,0.00127092,0.00127092,0.00127092
14,19346.4,1.01316,0.71074,1.04335,0.78098,0.78635,0.82748,0.60455,1.06955,0.80654,1.08466,0.00123791,0.00123791,0.00123791
15,20721.5,1.01313,0.70923,1.04108,0.80147,0.78391,0.84197,0.61688,1.04998,0.76816,1.07882,0.00120491,0.00120491,0.00120491
16,22096.5,1.01357,0.70258,1.04081,0.78784,0.78282,0.83523,0.61135,1.06463,0.77833,1.09099,0.0011719,0.0011719,0.0011719
17,23469.7,1.01254,0.69715,1.0422,0.78033,0.78388,0.82808,0.60715,1.06943,0.79311,1.09586,0.00113889,0.00113889,0.00113889
18,24888,0.9899,0.67869,1.03051,0.80637,0.78359,0.84313,0.62009,1.05314,0.75173,1.07853,0.00110589,0.00110589,0.00110589
19,26259.3,0.99252,0.67579,1.03591,0.78904,0.78657,0.83164,0.61111,1.06467,0.77113,1.09214,0.00107288,0.00107288,0.00107288
20,27629.3,0.98417,0.67139,1.03043,0.79819,0.78858,0.8396,0.61951,1.05449,0.76028,1.08626,0.00103987,0.00103987,0.00103987
21,29003.1,0.98405,0.65933,1.02456,0.79468,0.79128,0.83677,0.62018,1.05426,0.76591,1.08366,0.00100687,0.00100687,0.00100687
22,30376.5,0.97896,0.65273,1.02577,0.80756,0.78896,0.84806,0.6276,1.03945,0.7392,1.07705,0.000973861,0.000973861,0.000973861
23,31749.5,0.97782,0.65713,1.02642,0.79969,0.78822,0.84073,0.62223,1.04511,0.74379,1.08102,0.000940855,0.000940855,0.000940855
24,33123.2,0.9585,0.64199,1.01777,0.80861,0.78533,0.846,0.62513,1.04067,0.73348,1.08142,0.000907848,0.000907848,0.000907848
25,34493.5,0.96532,0.63927,1.01801,0.81025,0.79399,0.84717,0.62744,1.04891,0.73639,1.08023,0.000874842,0.000874842,0.000874842
26,35863.5,0.95433,0.63117,1.01677,0.80703,0.79469,0.84315,0.6252,1.04278,0.74561,1.08695,0.000841835,0.000841835,0.000841835
27,37237.5,0.95549,0.62093,1.01095,0.79832,0.7916,0.83798,0.62086,1.04582,0.74999,1.08227,0.000808828,0.000808828,0.000808828
28,38606.6,0.94517,0.61063,1.00714,0.80673,0.7958,0.84714,0.62857,1.03793,0.72833,1.08241,0.000775822,0.000775822,0.000775822
29,39980.3,0.94653,0.6174,1.01224,0.79913,0.80289,0.84688,0.63021,1.03212,0.72665,1.07843,0.000742815,0.000742815,0.000742815
30,41352.9,0.94286,0.6028,1.00628,0.80713,0.79705,0.84693,0.63021,1.03626,0.72904,1.07313,0.000709809,0.000709809,0.000709809
31,42725.5,0.93941,0.60202,1.00739,0.80804,0.79859,0.84794,0.63302,1.03041,0.71613,1.07432,0.000676802,0.000676802,0.000676802
32,44101.5,0.9206,0.58933,0.99831,0.80689,0.79776,0.84583,0.63013,1.03224,0.72411,1.07353,0.000643795,0.000643795,0.000643795
33,45472.6,0.92494,0.58437,0.99775,0.8069,0.80523,0.85321,0.6358,1.02323,0.70917,1.07393,0.000610789,0.000610789,0.000610789
34,46915.3,0.92954,0.58249,0.99958,0.80614,0.80774,0.84675,0.63078,1.03599,0.72107,1.07792,0.000577782,0.000577782,0.000577782
35,48289.2,0.9144,0.5702,0.99031,0.80256,0.81084,0.85218,0.6372,1.02789,0.70411,1.0721,0.000544776,0.000544776,0.000544776
36,49667,0.91346,0.56901,0.99122,0.8101,0.80279,0.84874,0.63423,1.03575,0.71366,1.07848,0.000511769,0.000511769,0.000511769
