epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,541.403,1.12625,0.86404,1.08689,0.72685,0.73031,0.77014,0.5457,1.14252,0.94713,1.09611,0.000554088,0.000554088,0.000554088
2,1073.6,1.10105,0.83078,1.06232,0.75,0.743,0.79292,0.56717,1.11665,0.8786,1.08298,0.00108778,0.00108778,0.00108778
3,1606.1,1.1144,0.84995,1.06131,0.73447,0.71212,0.77234,0.54843,1.13476,0.92672,1.08568,0.00159947,0.00159947,0.00159947
4,2136.49,1.10384,0.83923,1.05767,0.75751,0.73582,0.79487,0.56802,1.12304,0.8894,1.08551,0.00156798,0.00156798,0.00156798
5,2669.63,1.10587,0.83393,1.0588,0.76657,0.74424,0.80567,0.57845,1.1243,0.86838,1.07698,0.00153497,0.00153497,0.00153497
6,3200.5,1.09188,0.81644,1.05437,0.7757,0.75063,0.81292,0.59222,1.07533,0.85752,1.05873,0.00150197,0.00150197,0.00150197
7,3729.78,1.08111,0.80317,1.05037,0.76378,0.75485,0.80706,0.58221,1.10207,0.86308,1.06886,0.00146896,0.00146896,0.00146896
8,4261.17,1.08642,0.79807,1.0508,0.77469,0.75803,0.81711,0.58831,1.10535,0.85978,1.06985,0.00143595,0.00143595,0.00143595
9,4791.99,1.07005,0.79019,1.04264,0.7707,0.76574,0.81539,0.58936,1.10095,0.85508,1.06637,0.00140295,0.00140295,0.00140295
10,5325.25,1.07162,0.7914,1.0427,0.76247,0.76134,0.80935,0.58502,1.09794,0.8627,1.06624,0.00136994,0.00136994,0.00136994
11,5855.8,1.06876,0.7834,1.04279,0.76396,0.75526,0.81077,0.58795,1.0875,0.84247,1.06529,0.00133693,0.00133693,0.00133693
12,6387.74,1.06216,0.775,1.04274,0.79001,0.7627,0.82864,0.60378,1.06521,0.80982,1.05813,0.00130393,0.00130393,0.00130393
13,6918.96,1.04992,0.75818,1.03214,0.78287,0.75639,0.82304,0.5945,1.09181,0.82709,1.06307,0.00127092,0.00127092,0.00127092
14,7450.26,1.05249,0.7569,1.033,0.79867,0.76457,0.82919,0.60591,1.07345,0.80707,1.05244,0.00123791,0.00123791,0.00123791
15,7984.91,1.05358,0.75386,1.03102,0.77658,0.77755,0.82952,0.60449,1.07616,0.80586,1.05719,0.00120491,0.00120491,0.00120491
16,8515.8,1.05539,0.74919,1.03058,0.78321,0.78288,0.83232,0.60674,1.07065,0.79668,1.05818,0.0011719,0.0011719,0.0011719
17,9046.97,1.05109,0.74502,1.03514,0.78146,0.78685,0.83511,0.60927,1.07272,0.79464,1.06035,0.00113889,0.00113889,0.00113889
18,9576.16,1.0324,0.7266,1.02406,0.79726,0.77809,0.8381,0.61162,1.06586,0.78476,1.05254,0.00110589,0.00110589,0.00110589
19,10106.9,1.03482,0.7283,1.02781,0.79956,0.77626,0.83395,0.61376,1.06057,0.7817,1.05586,0.00107288,0.00107288,0.00107288
20,10637.7,1.03029,0.71783,1.02284,0.79521,0.77675,0.83378,0.6103,1.07457,0.78935,1.05898,0.00103987,0.00103987,0.00103987
21,11171.1,1.03071,0.71698,1.0184,0.79413,0.78017,0.83405,0.61225,1.06939,0.78195,1.05248,0.00100687,0.00100687,0.00100687
22,11702.7,1.02767,0.70973,1.0221,0.79713,0.78285,0.8375,0.61304,1.06459,0.78446,1.05138,0.000973861,0.000973861,0.000973861
23,12234.6,1.02462,0.70649,1.02171,0.7995,0.76757,0.83047,0.61005,1.06528,0.79169,1.06156,0.000940855,0.000940855,0.000940855
24,12764.9,1.01227,0.70364,1.01765,0.79701,0.78393,0.83844,0.61511,1.06084,0.7797,1.05249,0.000907848,0.000907848,0.000907848
25,13294.8,1.01827,0.70003,1.0169,0.8003,0.78574,0.83917,0.61825,1.05879,0.77164,1.04989,0.000874842,0.000874842,0.000874842
26,13825.6,1.00617,0.69408,1.01485,0.80198,0.7766,0.83963,0.61853,1.05207,0.76583,1.05001,0.000841835,0.000841835,0.000841835
27,14355,1.00582,0.68306,1.01006,0.79996,0.78615,0.84028,0.61856,1.05858,0.77465,1.05319,0.000808828,0.000808828,0.000808828
28,14886.1,0.99922,0.67603,1.00734,0.80481,0.78575,0.8422,0.62137,1.05159,0.75634,1.05269,0.000775822,0.000775822,0.000775822
29,15418.7,1.00087,0.68383,1.01229,0.797,0.78364,0.83728,0.61694,1.05464,0.78048,1.04774,0.000742815,0.000742815,0.000742815
30,15950.3,0.99761,0.66961,1.00827,0.8123,0.78357,0.84354,0.62239,1.0473,0.76049,1.04614,0.000709809,0.000709809,0.000709809
31,16482.7,0.99516,0.67028,1.00772,0.80955,0.7911,0.84773,0.62712,1.04648,0.74608,1.0466,0.000676802,0.000676802,0.000676802
32,17014.5,0.97938,0.66102,0.9999,0.80395,0.79709,0.84659,0.62489,1.04523,0.74303,1.04596,0.000643795,0.000643795,0.000643795
33,17547.4,0.98679,0.65684,1.00249,0.80992,0.78355,0.84349,0.62349,1.04746,0.74945,1.04739,0.000610789,0.000610789,0.000610789
34,18081,0.99157,0.65685,1.00395,0.80885,0.79455,0.84614,0.62469,1.04935,0.74845,1.04563,0.000577782,0.000577782,0.000577782
35,18611.3,0.97509,0.6455,0.99505,0.80766,0.78611,0.84552,0.62581,1.04512,0.73985,1.04979,0.000544776,0.000544776,0.000544776
36,19142.3,0.97552,0.6419,0.99559,0.80419,0.79134,0.84314,0.62363,1.04979,0.74586,1.04992,0.000511769,0.000511769,0.000511769
37,19672.6,0.96438,0.63838,0.99064,0.80616,0.78802,0.84589,0.62772,1.04333,0.7341,1.04779,0.000478762,0.000478762,0.000478762
38,20203.4,0.96647,0.63056,0.99198,0.81004,0.79777,0.85112,0.63021,1.04432,0.73174,1.04538,0.000445756,0.000445756,0.000445756
39,20734.3,0.96455,0.62798,0.99196,0.81194,0.79224,0.84789,0.62864,1.04387,0.73806,1.04967,0.000412749,0.000412749,0.000412749
40,21262.6,0.95586,0.6213,0.98821,0.80509,0.7957,0.84626,0.62775,1.04658,0.73151,1.05159,0.000379743,0.000379743,0.000379743
41,21786.2,0.96226,0.61336,0.98802,0.80895,0.79882,0.84887,0.62896,1.04562,0.73333,1.04815,0.000346736,0.000346736,0.000346736
42,22306.7,0.94714,0.59948,0.98471,0.80502,0.79972,0.84797,0.62814,1.04706,0.73658,1.04998,0.000313729,0.000313729,0.000313729
43,22825.3,0.93843,0.59199,0.98184,0.80621,0.79677,0.84888,0.6296,1.04904,0.73344,1.0512,0.000280723,0.000280723,0.000280723
44,23345.6,0.93687,0.58629,0.98107,0.81169,0.79524,0.8508,0.6317,1.0476,0.72989,1.05111,0.000247716,0.000247716,0.000247716
