epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,782.562,1.08924,0.81296,1.076,0.74476,0.74885,0.7873,0.56308,1.13505,0.88195,1.10643,0.000554088,0.000554088,0.000554088
2,1560,1.06798,0.78421,1.05302,0.72745,0.73223,0.7837,0.55472,1.13872,0.90621,1.09966,0.00108778,0.00108778,0.00108778
3,2340.59,1.08103,0.80411,1.05318,0.74253,0.75509,0.79743,0.57191,1.10938,0.88406,1.08119,0.00159947,0.00159947,0.00159947
4,3115.42,1.07064,0.79274,1.05033,0.71401,0.73986,0.77583,0.55232,1.1403,0.92038,1.10424,0.00156798,0.00156798,0.00156798
5,3891.72,1.0787,0.79411,1.05249,0.76549,0.76192,0.80885,0.58185,1.125,0.86061,1.09984,0.00153497,0.00153497,0.00153497
6,4671.07,1.06383,0.7803,1.04771,0.76824,0.76522,0.81941,0.59676,1.06878,0.83647,1.06626,0.00150197,0.00150197,0.00150197
7,5444.85,1.04704,0.76256,1.04084,0.78039,0.7712,0.82348,0.5978,1.0854,0.82257,1.07127,0.00146896,0.00146896,0.00146896
8,6222.11,1.0554,0.7544,1.0431,0.76539,0.76635,0.81897,0.59634,1.07953,0.84386,1.07758,0.00143595,0.00143595,0.00143595
9,6999.92,1.03526,0.74569,1.03369,0.79071,0.76907,0.82169,0.59992,1.06917,0.81378,1.06734,0.00140295,0.00140295,0.00140295
10,7778.08,1.03724,0.73654,1.0324,0.79234,0.78638,0.84223,0.61598,1.06117,0.78333,1.05833,0.00136994,0.00136994,0.00136994
11,8555.7,1.03149,0.73014,1.02889,0.7849,0.77341,0.83032,0.60407,1.07515,0.80094,1.06685,0.00133693,0.00133693,0.00133693
12,9335.49,1.02801,0.72907,1.03053,0.80656,0.77403,0.84358,0.61485,1.0658,0.78218,1.06025,0.00130393,0.00130393,0.00130393
13,10110.8,1.01851,0.71563,1.02247,0.79516,0.77321,0.83054,0.6069,1.07285,0.80738,1.06504,0.00127092,0.00127092,0.00127092
14,10887.6,1.0139,0.70742,1.01899,0.79475,0.77975,0.83496,0.61143,1.06857,0.79115,1.06413,0.00123791,0.00123791,0.00123791
15,11666.4,1.01295,0.69892,1.01788,0.79736,0.78362,0.84146,0.61893,1.04942,0.76781,1.05655,0.00120491,0.00120491,0.00120491
16,12447.4,1.01176,0.68883,1.01596,0.79034,0.79425,0.84533,0.62195,1.04887,0.76828,1.05761,0.0011719,0.0011719,0.0011719
17,13227,1.00384,0.68474,1.01728,0.80043,0.78809,0.84626,0.62035,1.06104,0.76067,1.06225,0.00113889,0.00113889,0.00113889
18,14004.4,0.98791,0.67096,1.00997,0.79504,0.79012,0.84159,0.61983,1.05276,0.76285,1.05811,0.00110589,0.00110589,0.00110589
19,14780.7,0.99166,0.66866,1.01165,0.80083,0.79581,0.84741,0.624,1.05495,0.75117,1.05874,0.00107288,0.00107288,0.00107288
20,15557,0.98449,0.66285,1.00787,0.80211,0.79777,0.84546,0.62209,1.06156,0.76414,1.05877,0.00103987,0.00103987,0.00103987
21,16337.6,0.98573,0.64987,1.00221,0.79823,0.79404,0.83906,0.61783,1.06979,0.75989,1.07103,0.00100687,0.00100687,0.00100687
22,17116,0.97994,0.64775,1.00328,0.81563,0.797,0.85483,0.63456,1.04464,0.72664,1.05182,0.000973861,0.000973861,0.000973861
23,17894.5,0.97368,0.6436,1.00354,0.80567,0.79544,0.84498,0.62685,1.04785,0.74175,1.05517,0.000940855,0.000940855,0.000940855
24,18670.6,0.96084,0.63716,0.99747,0.80057,0.79508,0.84496,0.62381,1.05008,0.75026,1.0584,0.000907848,0.000907848,0.000907848
25,19448.4,0.96279,0.63259,0.99609,0.80976,0.79853,0.85283,0.63125,1.04057,0.73226,1.05123,0.000874842,0.000874842,0.000874842
26,20226.1,0.95289,0.62226,0.99446,0.80689,0.80357,0.85398,0.63194,1.04328,0.73186,1.05403,0.000841835,0.000841835,0.000841835
27,21000.7,0.95513,0.61431,0.99037,0.81094,0.80066,0.85209,0.63182,1.04168,0.73006,1.05242,0.000808828,0.000808828,0.000808828
28,21777.9,0.94534,0.61262,0.9853,0.80967,0.79668,0.84847,0.62768,1.04662,0.74559,1.05698,0.000775822,0.000775822,0.000775822
29,22555.1,0.94728,0.61523,0.99032,0.80883,0.8014,0.85276,0.63276,1.03613,0.72972,1.05236,0.000742815,0.000742815,0.000742815
30,23331.7,0.94298,0.60208,0.98718,0.81027,0.80335,0.85416,0.63622,1.034,0.72296,1.05239,0.000709809,0.000709809,0.000709809
31,24109.4,0.93481,0.59757,0.98477,0.80862,0.80827,0.85765,0.63913,1.02774,0.7132,1.0492,0.000676802,0.000676802,0.000676802
32,24887.7,0.92131,0.58734,0.97833,0.81304,0.80089,0.85446,0.63505,1.03971,0.72235,1.0552,0.000643795,0.000643795,0.000643795
33,25666.4,0.92482,0.57932,0.97867,0.81579,0.79751,0.85437,0.63581,1.03977,0.71976,1.05628,0.000610789,0.000610789,0.000610789
34,26445.4,0.92999,0.58148,0.98006,0.81935,0.79681,0.8526,0.63288,1.0441,0.72664,1.0582,0.000577782,0.000577782,0.000577782
35,27223.8,0.91203,0.57088,0.97089,0.80934,0.80964,0.85571,0.63716,1.04675,0.7125,1.0632,0.000544776,0.000544776,0.000544776
36,28000.2,0.91171,0.5664,0.97219,0.80408,0.81092,0.8536,0.63558,1.03996,0.72366,1.05548,0.000511769,0.000511769,0.000511769
37,28776.9,0.89995,0.5572,0.96579,0.8076,0.80984,0.85254,0.6358,1.03917,0.71698,1.05758,0.000478762,0.000478762,0.000478762
38,29555.2,0.90083,0.55562,0.96782,0.81764,0.81076,0.8573,0.6392,1.03724,0.71074,1.05485,0.000445756,0.000445756,0.000445756
39,30329.9,0.89816,0.54966,0.96701,0.81269,0.80647,0.85346,0.63692,1.04137,0.71916,1.05853,0.000412749,0.000412749,0.000412749
40,31107.8,0.88574,0.54173,0.96184,0.80485,0.81247,0.85391,0.63529,1.0477,0.71299,1.05986,0.000379743,0.000379743,0.000379743
41,31875.9,0.88956,0.532,0.95845,0.80426,0.81315,0.85468,0.6366,1.04472,0.72004,1.05959,0.000346736,0.000346736,0.000346736
42,32641.7,0.88073,0.52288,0.95735,0.80671,0.81254,0.85378,0.63752,1.03581,0.7131,1.05536,0.000313729,0.000313729,0.000313729
43,33406.4,0.87133,0.51183,0.95358,0.81263,0.80704,0.8542,0.63547,1.04622,0.71639,1.06047,0.000280723,0.000280723,0.000280723
