epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,625.853,1.23375,1.21567,1.11737,0.70107,0.72098,0.75375,0.52628,1.0987,0.91808,1.02933,0.000554088,0.000554088,0.000554088
2,1238.62,1.07424,0.83777,1.02662,0.73907,0.73334,0.78063,0.55282,1.06771,0.86477,1.02671,0.00108778,0.00108778,0.00108778
3,1849.71,1.07903,0.83746,1.0258,0.73987,0.74212,0.79214,0.55715,1.07415,0.85607,1.02396,0.00159947,0.00159947,0.00159947
4,2462.27,1.06225,0.81346,1.02096,0.73487,0.74586,0.78681,0.55187,1.0847,0.85828,1.02923,0.00156798,0.00156798,0.00156798
5,3074.37,1.06172,0.80941,1.0197,0.74916,0.74115,0.79518,0.56926,1.05751,0.8128,1.02441,0.00153497,0.00153497,0.00153497
6,3685.32,1.04327,0.78242,1.01165,0.75339,0.74962,0.80008,0.57607,1.03811,0.8003,1.01359,0.00150197,0.00150197,0.00150197
7,4294.11,1.02988,0.76598,1.01163,0.77689,0.76639,0.81682,0.58952,1.03398,0.76354,1.01356,0.00146896,0.00146896,0.00146896
8,4907.24,1.03236,0.75413,1.01158,0.77153,0.74842,0.80417,0.58011,1.03953,0.79305,1.01424,0.00143595,0.00143595,0.00143595
9,5516.59,1.01054,0.74526,1.00077,0.77165,0.76488,0.81372,0.5849,1.0301,0.76057,1.01631,0.00140295,0.00140295,0.00140295
10,6130.69,1.01099,0.73146,1.0006,0.76532,0.74024,0.79243,0.5705,1.03709,0.83302,1.01712,0.00136994,0.00136994,0.00136994
11,6742.58,1.00436,0.7298,0.9993,0.77156,0.76236,0.81398,0.5927,1.01288,0.76166,1.00532,0.00133693,0.00133693,0.00133693
12,7355.04,1.00108,0.7164,0.99957,0.78879,0.77213,0.82559,0.59554,1.0165,0.74434,1.00504,0.00130393,0.00130393,0.00130393
13,7965.72,0.98687,0.69949,0.99277,0.78114,0.76956,0.82413,0.60112,1.0099,0.73605,1.00519,0.00127092,0.00127092,0.00127092
14,8576.5,0.99018,0.69297,0.99114,0.78612,0.77881,0.82748,0.60262,1.01417,0.73209,1.00768,0.00123791,0.00123791,0.00123791
15,9189.95,0.98347,0.68893,0.98636,0.79821,0.76947,0.82975,0.60618,1.00502,0.72511,1.00373,0.00120491,0.00120491,0.00120491
16,9800.58,0.98751,0.68147,0.98873,0.78408,0.77636,0.82937,0.60579,1.00746,0.71735,1.01007,0.0011719,0.0011719,0.0011719
17,10415,0.98476,0.68302,0.98916,0.79796,0.77056,0.82918,0.60538,1.00193,0.72306,1.00097,0.00113889,0.00113889,0.00113889
18,11025.9,0.95963,0.66296,0.9777,0.79201,0.77414,0.83126,0.61115,0.99855,0.70587,1.00389,0.00110589,0.00110589,0.00110589
19,11638.7,0.96883,0.65877,0.98376,0.78681,0.77575,0.82788,0.60506,1.00605,0.71503,1.012,0.00107288,0.00107288,0.00107288
20,12249.9,0.96163,0.65818,0.97998,0.81333,0.77836,0.8395,0.61531,1.00013,0.69292,1.00039,0.00103987,0.00103987,0.00103987
21,12864.3,0.95785,0.64675,0.97442,0.80136,0.7781,0.83807,0.61442,0.99404,0.69127,0.99772,0.00100687,0.00100687,0.00100687
22,13475.8,0.95938,0.64162,0.9777,0.78843,0.78586,0.83727,0.61532,0.98657,0.69626,0.993,0.000973861,0.000973861,0.000973861
23,14084.3,0.95254,0.64024,0.9752,0.80785,0.78052,0.83755,0.61565,0.98669,0.68664,0.99357,0.000940855,0.000940855,0.000940855
24,14696.4,0.9367,0.63189,0.96985,0.79129,0.79349,0.83993,0.6183,0.98189,0.68182,0.99249,0.000907848,0.000907848,0.000907848
25,15309,0.94406,0.62649,0.96909,0.80818,0.78559,0.84109,0.62104,0.98357,0.67897,0.99682,0.000874842,0.000874842,0.000874842
26,15920.3,0.93093,0.61937,0.96727,0.81128,0.78562,0.84569,0.6248,0.97937,0.66543,0.99627,0.000841835,0.000841835,0.000841835
27,16529.1,0.9305,0.60963,0.9643,0.80263,0.79337,0.84521,0.62486,0.97711,0.66626,0.99456,0.000808828,0.000808828,0.000808828
28,17139.1,0.92329,0.60365,0.96195,0.78692,0.79522,0.83665,0.61955,0.98075,0.67929,0.99765,0.000775822,0.000775822,0.000775822
29,17751.4,0.92595,0.61236,0.96528,0.79927,0.79801,0.84747,0.62541,0.97828,0.66464,0.9937,0.000742815,0.000742815,0.000742815
30,18363,0.92417,0.59881,0.96192,0.81557,0.78534,0.84683,0.62735,0.96791,0.66123,0.99143,0.000709809,0.000709809,0.000709809
31,18971.4,0.91903,0.5977,0.96307,0.81094,0.78493,0.84707,0.62657,0.97274,0.66976,0.99159,0.000676802,0.000676802,0.000676802
32,19583.2,0.90588,0.5861,0.9572,0.80104,0.79567,0.84458,0.62538,0.97504,0.66255,0.99628,0.000643795,0.000643795,0.000643795
33,20195.2,0.9046,0.58121,0.95361,0.80508,0.79614,0.8487,0.63058,0.97235,0.65591,0.99736,0.000610789,0.000610789,0.000610789
34,20808.3,0.91197,0.5821,0.95805,0.81057,0.79293,0.84665,0.6286,0.96827,0.66103,0.99472,0.000577782,0.000577782,0.000577782
35,21418.5,0.89258,0.56688,0.94892,0.81313,0.79077,0.84731,0.63099,0.97008,0.65153,0.99252,0.000544776,0.000544776,0.000544776
36,22029.2,0.89528,0.56714,0.95187,0.80681,0.79911,0.84921,0.63208,0.9682,0.6443,0.9938,0.000511769,0.000511769,0.000511769
37,22639.5,0.8843,0.55838,0.94439,0.80506,0.79292,0.84505,0.62883,0.97152,0.65063,0.9963,0.000478762,0.000478762,0.000478762
38,23249.9,0.88434,0.55219,0.94603,0.81681,0.79826,0.85115,0.63427,0.96478,0.6374,0.98993,0.000445756,0.000445756,0.000445756
39,23860,0.88336,0.54986,0.94634,0.8216,0.7905,0.84781,0.63247,0.96522,0.64304,0.99594,0.000412749,0.000412749,0.000412749
40,24471.1,0.87248,0.53981,0.94094,0.81029,0.79882,0.84765,0.63309,0.97093,0.64343,0.99301,0.000379743,0.000379743,0.000379743
41,25078.2,0.8748,0.53227,0.93568,0.81181,0.79772,0.84747,0.63194,0.96687,0.64793,0.99315,0.000346736,0.000346736,0.000346736
42,25684.2,0.86717,0.52343,0.93166,0.81358,0.79556,0.84719,0.62917,0.97242,0.64788,0.99342,0.000313729,0.000313729,0.000313729
43,26288.1,0.86031,0.51684,0.93058,0.80619,0.80381,0.84814,0.63161,0.9691,0.64585,0.99539,0.000280723,0.000280723,0.000280723
44,26892,0.85566,0.50921,0.92667,0.81824,0.79515,0.84948,0.63097,0.9695,0.64085,0.99592,0.000247716,0.000247716,0.000247716
45,27496.1,0.85273,0.50429,0.92502,0.81098,0.79947,0.84927,0.63303,0.96653,0.6402,0.99658,0.00021471,0.00021471,0.00021471
46,28101.4,0.84423,0.49689,0.92322,0.81485,0.79818,0.85054,0.63357,0.96674,0.63848,0.99568,0.000181703,0.000181703,0.000181703
47,28707.7,0.84517,0.49387,0.92315,0.81678,0.79568,0.8499,0.63311,0.96966,0.64029,1.00218,0.000148696,0.000148696,0.000148696
48,29313.3,0.84015,0.48936,0.92121,0.82361,0.79344,0.85126,0.63515,0.96333,0.63509,1.00149,0.00011569,0.00011569,0.00011569
49,29918,0.83781,0.48745,0.92034,0.82217,0.80171,0.85357,0.63743,0.96118,0.63032,0.99907,8.26832e-05,8.26832e-05,8.26832e-05
50,30523,0.83735,0.48216,0.91922,0.8198,0.79823,0.853,0.63648,0.96159,0.63101,0.99881,4.96766e-05,4.96766e-05,4.96766e-05
