epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.211,1.38276,1.54259,1.15049,0.73256,0.69861,0.74917,0.51107,1.15639,0.96616,1.03058,0.000554088,0.000554088,0.000554088
2,498.226,1.14948,0.93461,1.02851,0.72579,0.73059,0.76722,0.53544,1.11883,0.88209,1.01573,0.00108778,0.00108778,0.00108778
3,741.047,1.14253,0.91524,1.02391,0.7322,0.71775,0.76605,0.5357,1.11499,0.87817,1.01543,0.00159947,0.00159947,0.00159947
4,982.978,1.12564,0.88975,1.02043,0.74093,0.72987,0.77925,0.54406,1.10373,0.871,1.01054,0.00156798,0.00156798,0.00156798
5,1224.65,1.11534,0.86493,1.01509,0.73717,0.73224,0.78128,0.55449,1.07156,0.84401,1.00296,0.00153497,0.00153497,0.00153497
6,1467.13,1.09474,0.84161,1.0074,0.75972,0.71763,0.77844,0.5543,1.07623,0.85196,1.00532,0.00150197,0.00150197,0.00150197
7,1708.95,1.08185,0.82202,1.00533,0.75921,0.74131,0.79751,0.5667,1.06652,0.81958,0.99384,0.00146896,0.00146896,0.00146896
8,1951.62,1.07951,0.80516,1.0042,0.7286,0.7454,0.78405,0.55798,1.0607,0.85085,0.99729,0.00143595,0.00143595,0.00143595
9,2194.29,1.06531,0.79714,0.9956,0.77753,0.73689,0.79541,0.57021,1.05355,0.80324,0.99426,0.00140295,0.00140295,0.00140295
10,2436.83,1.06091,0.78742,0.99605,0.78601,0.74697,0.81041,0.57965,1.05047,0.79215,0.99258,0.00136994,0.00136994,0.00136994
11,2678.89,1.05654,0.77882,0.9945,0.76532,0.75307,0.80632,0.58254,1.04355,0.78236,0.98845,0.00133693,0.00133693,0.00133693
12,2921,1.05363,0.77983,0.99599,0.76073,0.74181,0.79938,0.57249,1.05151,0.78674,0.99262,0.00130393,0.00130393,0.00130393
13,3161.63,1.03865,0.75417,0.9869,0.78004,0.7528,0.81087,0.58403,1.03919,0.77259,0.98898,0.00127092,0.00127092,0.00127092
14,3404.69,1.03983,0.75134,0.98682,0.7821,0.75784,0.81183,0.58606,1.04256,0.77554,0.99037,0.00123791,0.00123791,0.00123791
15,3646.6,1.03706,0.75084,0.9843,0.77616,0.75684,0.81093,0.58512,1.02838,0.77255,0.98583,0.00120491,0.00120491,0.00120491
16,3889.79,1.04081,0.74374,0.98703,0.76421,0.75614,0.80976,0.58568,1.02972,0.77266,0.98417,0.0011719,0.0011719,0.0011719
17,4131.73,1.04097,0.74312,0.98884,0.7652,0.75878,0.80359,0.57953,1.02992,0.77814,0.98349,0.00113889,0.00113889,0.00113889
18,4374.44,1.01245,0.72096,0.97544,0.78895,0.76453,0.82159,0.59632,1.02341,0.73864,0.98036,0.00110589,0.00110589,0.00110589
19,4615.21,1.02099,0.72536,0.9818,0.77846,0.76588,0.81911,0.59591,1.0209,0.74263,0.98326,0.00107288,0.00107288,0.00107288
20,4856.1,1.01357,0.71646,0.97776,0.80663,0.75863,0.82155,0.59896,1.02663,0.73821,0.98443,0.00103987,0.00103987,0.00103987
21,5098.93,1.01654,0.70888,0.97403,0.78659,0.76111,0.81993,0.59774,1.02483,0.73505,0.98102,0.00100687,0.00100687,0.00100687
22,5340.67,1.01351,0.70221,0.97476,0.79313,0.76673,0.82003,0.59568,1.02074,0.73803,0.97993,0.000973861,0.000973861,0.000973861
23,5582.19,1.0083,0.70333,0.97445,0.79655,0.76662,0.82398,0.59846,1.02743,0.72461,0.98332,0.000940855,0.000940855,0.000940855
24,5824.32,0.99481,0.69582,0.97119,0.78485,0.76288,0.82185,0.59887,1.01205,0.73543,0.97589,0.000907848,0.000907848,0.000907848
25,6066.28,1.00604,0.69497,0.97202,0.78635,0.76871,0.82226,0.60002,1.01268,0.73278,0.9779,0.000874842,0.000874842,0.000874842
26,6308.51,0.99151,0.6876,0.96878,0.80004,0.76658,0.82823,0.60637,1.01398,0.71342,0.98033,0.000841835,0.000841835,0.000841835
27,6548.17,0.98891,0.68093,0.96525,0.79362,0.77312,0.82883,0.60392,1.00916,0.71649,0.97401,0.000808828,0.000808828,0.000808828
28,6790.22,0.98518,0.67243,0.96406,0.79396,0.7708,0.8231,0.59939,1.01655,0.72407,0.98007,0.000775822,0.000775822,0.000775822
29,7030.81,0.98796,0.67615,0.96725,0.79154,0.77192,0.82561,0.60178,1.0143,0.72718,0.97756,0.000742815,0.000742815,0.000742815
30,7272.74,0.99107,0.66962,0.96549,0.7974,0.77398,0.83248,0.60902,0.99879,0.7075,0.97054,0.000709809,0.000709809,0.000709809
31,7514.21,0.98276,0.66687,0.96569,0.79935,0.7732,0.83092,0.60786,1.00526,0.70893,0.97538,0.000676802,0.000676802,0.000676802
32,7756.35,0.97013,0.6592,0.95957,0.80766,0.77196,0.83128,0.60778,1.00431,0.70253,0.97239,0.000643795,0.000643795,0.000643795
33,7998.87,0.9732,0.65553,0.95878,0.80508,0.77347,0.8321,0.60891,1.00186,0.69923,0.97449,0.000610789,0.000610789,0.000610789
34,8241.39,0.98311,0.65744,0.96281,0.80115,0.7775,0.83041,0.60994,0.99923,0.70027,0.97359,0.000577782,0.000577782,0.000577782
35,8482.18,0.96107,0.64222,0.95422,0.80221,0.77138,0.83009,0.6117,0.99782,0.69723,0.97383,0.000544776,0.000544776,0.000544776
36,8724.7,0.96306,0.64239,0.9564,0.80692,0.77653,0.83555,0.61473,0.99592,0.68669,0.97064,0.000511769,0.000511769,0.000511769
37,8966.75,0.95432,0.63739,0.95183,0.80549,0.77716,0.83534,0.6133,0.99955,0.68734,0.97224,0.000478762,0.000478762,0.000478762
38,9209.25,0.95595,0.63092,0.95333,0.79874,0.77934,0.83366,0.61339,0.99672,0.68506,0.97225,0.000445756,0.000445756,0.000445756
39,9451.33,0.95731,0.62955,0.95492,0.8065,0.78138,0.83615,0.61363,1.00025,0.68798,0.97656,0.000412749,0.000412749,0.000412749
40,9692.24,0.94565,0.6245,0.94932,0.80401,0.77967,0.83335,0.6118,1.00105,0.68992,0.9738,0.000379743,0.000379743,0.000379743
41,9930.47,0.94359,0.60733,0.9433,0.80486,0.77801,0.83215,0.61118,1.00316,0.69473,0.97675,0.000346736,0.000346736,0.000346736
42,10168.1,0.93142,0.59888,0.93808,0.80236,0.77822,0.8323,0.61135,1.00212,0.69581,0.97449,0.000313729,0.000313729,0.000313729
43,10406,0.92639,0.59207,0.93711,0.8091,0.78529,0.83445,0.61477,0.9995,0.68954,0.9752,0.000280723,0.000280723,0.000280723
44,10642.3,0.92567,0.587,0.9355,0.80398,0.78623,0.83501,0.61489,1.00201,0.68401,0.97682,0.000247716,0.000247716,0.000247716
45,10878.3,0.92589,0.58341,0.93532,0.8043,0.78131,0.83253,0.61346,1.00435,0.68791,0.97913,0.00021471,0.00021471,0.00021471
46,11114.6,0.91717,0.57656,0.93393,0.80401,0.78562,0.83433,0.61582,0.99769,0.68534,0.97715,0.000181703,0.000181703,0.000181703
47,11350.1,0.91638,0.57282,0.93258,0.81057,0.78123,0.83547,0.61624,1.00027,0.67802,0.97884,0.000148696,0.000148696,0.000148696
48,11586.4,0.91233,0.56961,0.93065,0.80628,0.78281,0.8367,0.61689,0.99715,0.67731,0.97849,0.00011569,0.00011569,0.00011569
49,11822.5,0.91348,0.5695,0.93153,0.80949,0.78542,0.8374,0.61772,0.99801,0.67417,0.97798,8.26832e-05,8.26832e-05,8.26832e-05
50,12060.9,0.91061,0.56314,0.93059,0.80876,0.78497,0.83803,0.61773,0.99657,0.6753,0.97778,4.96766e-05,4.96766e-05,4.96766e-05
