epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.277,1.25285,1.31675,1.08975,0.71083,0.71859,0.75565,0.51928,1.12619,0.95064,1.02279,0.000554088,0.000554088,0.000554088
2,691.237,1.09681,0.87911,1.0134,0.74453,0.74335,0.79115,0.5557,1.08522,0.8568,1.01462,0.00108778,0.00108778,0.00108778
3,1029.54,1.09113,0.8515,1.00959,0.74957,0.73544,0.7842,0.55595,1.07288,0.84386,1.00686,0.00159947,0.00159947,0.00159947
4,1368.18,1.07172,0.81848,1.00417,0.75807,0.75125,0.80225,0.56662,1.06849,0.8178,1.0059,0.00156798,0.00156798,0.00156798
5,1706.46,1.07152,0.8175,1.00436,0.73388,0.73921,0.78427,0.55776,1.07161,0.82949,1.00867,0.00153497,0.00153497,0.00153497
6,2044.96,1.0519,0.78946,0.99748,0.77155,0.74592,0.80238,0.57555,1.05257,0.7971,0.9991,0.00150197,0.00150197,0.00150197
7,2383.7,1.03825,0.77244,0.99404,0.77068,0.76144,0.81672,0.5825,1.04413,0.78031,0.99465,0.00146896,0.00146896,0.00146896
8,2722.69,1.03549,0.75455,0.99201,0.76917,0.76162,0.81679,0.59096,1.03203,0.76741,0.99204,0.00143595,0.00143595,0.00143595
9,3061.63,1.01971,0.74334,0.98322,0.78908,0.75643,0.80896,0.58561,1.02557,0.76829,0.99177,0.00140295,0.00140295,0.00140295
10,3402.2,1.01753,0.72951,0.98459,0.78855,0.76486,0.82297,0.59373,1.02724,0.75447,0.98649,0.00136994,0.00136994,0.00136994
11,3741.15,1.01424,0.72555,0.98413,0.79686,0.75831,0.82267,0.59519,1.02448,0.75069,0.98868,0.00133693,0.00133693,0.00133693
12,4080.94,1.00745,0.72035,0.98311,0.78752,0.76374,0.82346,0.59495,1.01923,0.74526,0.98513,0.00130393,0.00130393,0.00130393
13,4419.67,0.99309,0.70026,0.9756,0.79129,0.76875,0.82434,0.59659,1.02913,0.74122,0.99514,0.00127092,0.00127092,0.00127092
14,4759.47,0.99527,0.69558,0.97413,0.79803,0.77235,0.833,0.60374,1.01805,0.72963,0.98592,0.00123791,0.00123791,0.00123791
15,5099.03,0.99112,0.68948,0.97105,0.79118,0.7729,0.83274,0.60693,1.00256,0.72112,0.98009,0.00120491,0.00120491,0.00120491
16,5439.56,0.99258,0.68392,0.97216,0.7874,0.7738,0.82838,0.60061,1.01398,0.73153,0.98801,0.0011719,0.0011719,0.0011719
17,5778.51,0.99296,0.68356,0.97407,0.80138,0.77442,0.83599,0.6114,1.007,0.71166,0.98584,0.00113889,0.00113889,0.00113889
18,6117.21,0.96817,0.66181,0.96322,0.79187,0.77913,0.83394,0.61015,1.00188,0.70745,0.98182,0.00110589,0.00110589,0.00110589
19,6455.33,0.97496,0.66633,0.96996,0.79194,0.77627,0.82729,0.60198,1.01042,0.72722,0.98909,0.00107288,0.00107288,0.00107288
20,6793.54,0.96652,0.65798,0.96369,0.7957,0.78606,0.83994,0.61546,1.00268,0.69829,0.98206,0.00103987,0.00103987,0.00103987
21,7133.41,0.96536,0.65036,0.96063,0.7991,0.78119,0.83739,0.6137,0.99945,0.69866,0.98099,0.00100687,0.00100687,0.00100687
