epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,347.471,0.8065,0.62227,1.35903,0.8184,0.78305,0.84408,0.62356,0.89598,0.7506,1.4284,0.000398581,0.000398581,0.000398581
2,687.287,0.8246,0.65077,1.36962,0.80568,0.78342,0.83931,0.61418,0.91021,0.7949,1.44144,0.000782464,0.000782464,0.000782464
3,1025.61,0.82974,0.67142,1.37299,0.7919,0.79391,0.83763,0.61379,0.91011,0.77972,1.43472,0.00115049,0.00115049,0.00115049
4,1363.09,0.84006,0.68905,1.38027,0.7907,0.78001,0.82604,0.60321,0.91973,0.81855,1.43685,0.00150266,0.00150266,0.00150266
5,1701.06,0.85048,0.70355,1.38482,0.79299,0.78622,0.83416,0.60868,0.91447,0.79754,1.44584,0.00153475,0.00153475,0.00153475
6,2038.14,0.85082,0.70978,1.38141,0.79278,0.78475,0.83741,0.60849,0.91527,0.78739,1.43369,0.00150169,0.00150169,0.00150169
7,2376.47,0.85823,0.70656,1.38769,0.7895,0.7864,0.83643,0.61029,0.90335,0.79378,1.43244,0.00146862,0.00146862,0.00146862
8,2714.77,0.84683,0.69898,1.38392,0.79677,0.78135,0.83872,0.61298,0.90701,0.77433,1.43325,0.00143556,0.00143556,0.00143556
9,3051.69,0.85296,0.69201,1.38557,0.78584,0.78858,0.83351,0.61043,0.9132,0.79259,1.44129,0.0014025,0.0014025,0.0014025
10,3389.18,0.84511,0.68645,1.38158,0.79185,0.78789,0.83788,0.61346,0.90591,0.79759,1.42565,0.00136943,0.00136943,0.00136943
11,3727.57,0.84147,0.6751,1.3741,0.79654,0.78399,0.84093,0.61727,0.90045,0.77294,1.43099,0.00133637,0.00133637,0.00133637
