fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.63273,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.62213,0.0118,0.00922,0.91074,0.0005,3.10398,0.8,7.05571,0.56093,1.55756,0.01313,0.6609,0.39218,0.0,0.09608,0.53064,0.0,0.0,0.0,0.46452,0.0,0.88357,0.0,0.0
0.63268,0.01,0.01084,0.937,0.00051,3.08593,0.68553,7.15225,0.5,1.75303,0.01436,0.77162,0.4,0.0,0.09336,0.5,0.0,0.0,0.0,0.42508,0.0,1.0,0.0,0.0
0.62345,0.01191,0.0108,0.94844,0.00051,3.26732,0.45,7.50366,0.41346,2.33213,0.01408,0.79214,0.46151,0.0,0.09336,0.50751,0.0,0.0,0.0,0.43674,0.0,1.0,0.0,0.0
0.63301,0.01033,0.0105,0.93779,0.00051,3.08593,0.75522,7.15225,0.50728,1.87636,0.01406,0.78893,0.37837,0.0,0.08362,0.45561,0.0,0.0,0.0,0.3852,0.0,1.0,0.0,0.0
0.63441,0.01084,0.01056,0.93779,0.00059,3.527,0.63407,6.77908,0.50728,1.86607,0.01575,0.77598,0.35086,0.0,0.09106,0.43718,0.0,0.0,0.0,0.39712,0.0,0.93914,0.0,0.0
0.64404,0.00751,0.01204,0.92625,0.00052,2.99203,0.79448,7.2165,0.45114,1.90067,0.01406,0.79651,0.36221,0.0,0.06154,0.40778,0.0,0.0,0.0,0.38475,0.0,1.0,0.0,0.0
0.63371,0.01033,0.01055,0.95,0.00051,3.22102,0.75263,6.95907,0.52876,1.87636,0.01574,0.82988,0.38636,0.0,0.08406,0.49546,0.0,0.0,0.0,0.40028,0.0,1.0,0.0,0.0
0.64553,0.00693,0.01204,0.87327,0.00068,3.60383,0.79448,7.62141,0.51562,1.90067,0.0173,0.81569,0.40987,0.0,0.06238,0.40778,0.0,0.0,0.0,0.37353,0.0,1.0,0.0,0.0
0.64278,0.00737,0.01219,0.92625,0.00052,3.04581,0.7967,7.2165,0.45105,1.8623,0.0141,0.78443,0.36221,0.0,0.06127,0.40626,0.0,0.0,0.0,0.38056,0.0,0.98686,0.0,0.0
0.63958,0.00751,0.01109,0.96814,0.00066,2.77723,0.81521,7.2165,0.48127,2.1733,0.01238,0.9,0.34044,0.0,0.06448,0.40778,0.0,0.0,0.0,0.4637,0.0,1.0,0.0,0.0
0.64555,0.0072,0.01218,0.92625,0.00055,2.77968,0.73671,8.21367,0.43907,1.70619,0.01505,0.76291,0.36221,0.0,0.06272,0.41158,0.0,0.0,0.0,0.37692,0.0,1.0,0.0,0.0
0.64705,0.00719,0.01224,0.92625,0.00055,2.99203,0.79604,6.78583,0.45606,1.90067,0.01406,0.76164,0.37451,0.0,0.05687,0.41939,0.0,0.0,0.0,0.35474,0.0,1.0,0.0,0.0
0.64426,0.00733,0.01179,0.9151,0.00055,2.77968,0.76962,8.76691,0.43907,1.70011,0.01535,0.77247,0.37333,0.0,0.06251,0.39359,0.0,0.0,0.0,0.37872,0.0,1.0,0.0,0.0
0.64261,0.00547,0.01224,0.98,0.00036,2.78161,0.75322,7.73902,0.51636,1.90067,0.01608,0.9,0.33312,0.0,0.05687,0.60959,0.0,0.0,0.0,0.35474,0.0,1.0,0.0,0.0
0.64287,0.00707,0.01218,0.92409,0.00054,2.63477,0.71411,8.1855,0.45645,1.63155,0.01457,0.7484,0.37666,0.0,0.0645,0.39468,0.0,0.0,0.0,0.37692,0.0,0.97954,0.0,0.0
0.6468,0.00701,0.01214,0.87459,0.00067,3.67791,0.79571,7.58212,0.51502,1.91268,0.01754,0.80397,0.41516,0.0,0.06258,0.40778,0.0,0.0,0.0,0.37736,0.0,1.0,0.0,0.0
0.64854,0.00715,0.01224,0.87459,0.00067,3.70932,0.79268,7.44396,0.5122,1.90594,0.0171,0.80397,0.42154,0.0,0.06016,0.41429,0.0,0.0,0.0,0.37554,0.0,1.0,0.0,0.0
0.64493,0.00757,0.01277,0.91099,0.00056,2.94403,0.82138,7.09243,0.45606,2.1141,0.01406,0.77187,0.39125,0.0,0.05687,0.41097,0.0,0.0,0.0,0.36509,0.0,0.95186,0.0,0.0
0.64725,0.0073,0.01289,0.88452,0.00065,3.84123,0.73034,7.38894,0.45615,1.97303,0.01884,0.79159,0.39772,0.0,0.05631,0.37563,0.0,0.0,0.0,0.34622,0.0,0.95852,0.0,0.0
0.64851,0.00705,0.00978,0.87459,0.00061,3.38108,0.82475,6.6877,0.49204,1.91268,0.01754,0.80397,0.39343,0.0,0.05909,0.3809,0.0,0.0,0.0,0.39211,0.0,0.96468,0.0,0.0
0.64443,0.00707,0.00976,0.8751,0.00061,3.37325,0.82563,6.67098,0.49285,1.91774,0.01753,0.80196,0.39554,0.0,0.05909,0.3809,0.0,0.0,0.0,0.39207,0.0,0.96494,0.0,0.0
0.64882,0.00564,0.01136,0.87459,0.00085,3.57972,0.84097,7.02705,0.46323,1.90594,0.0171,0.87475,0.42154,0.0,0.06016,0.41429,0.0,0.0,0.0,0.41255,0.0,0.98519,0.0,0.0
0.64646,0.00724,0.01118,0.89433,0.00073,3.58224,0.83477,6.46223,0.55906,2.01259,0.01648,0.9,0.42174,0.0,0.06086,0.45258,0.0,0.0,0.0,0.34316,0.0,0.97498,0.0,0.0
0.64627,0.00704,0.00964,0.87283,0.00067,2.90832,0.83158,5.92728,0.49981,2.1407,0.01657,0.73873,0.39623,0.0,0.06104,0.36462,0.0,0.0,0.0,0.35936,0.0,1.0,0.0,0.0
0.63996,0.00891,0.00978,0.85326,0.00061,3.38108,0.82475,6.96141,0.52378,1.64868,0.01754,0.9,0.3063,0.0,0.0808,0.43747,0.0,0.0,0.0,0.45199,0.0,0.96468,0.0,0.0
0.64494,0.00746,0.01299,0.85563,0.00064,4.05931,0.71582,7.48942,0.53965,1.92153,0.01884,0.75857,0.42154,0.0,0.06016,0.41429,0.0,0.0,0.0,0.35391,0.0,0.84457,0.0,0.0
0.64279,0.0078,0.00887,0.90445,0.00056,3.4089,0.82475,6.92278,0.48269,1.98969,0.01754,0.80397,0.45397,0.0,0.05442,0.41549,0.0,0.0,0.0,0.39493,0.0,0.96468,0.0,0.0
0.65222,0.00699,0.00914,0.87459,0.00056,4.41892,0.79268,6.1088,0.49719,2.09691,0.01747,0.80397,0.52031,0.0,0.05499,0.40149,0.0,0.0,0.0,0.37554,0.0,0.95625,0.0,0.0
0.64621,0.00677,0.0094,0.86561,0.00056,4.45445,0.79268,6.15942,0.49223,2.14675,0.01717,0.80078,0.49107,0.0,0.05499,0.41677,0.0,0.0,0.0,0.37554,0.0,0.93022,0.0,0.0
0.64321,0.00715,0.01336,0.87459,0.00067,3.70932,0.77045,7.7652,0.53438,1.18991,0.01649,0.79437,0.47603,0.0,0.06016,0.34575,0.0,0.0,0.0,0.38381,0.0,1.0,0.0,0.0
0.64868,0.00557,0.01144,0.87459,0.00085,3.57972,0.86115,7.21907,0.46323,1.91888,0.0171,0.87475,0.4188,0.0,0.06047,0.4113,0.0,0.0,0.0,0.41255,0.0,0.95826,0.0,0.0
0.64917,0.00569,0.0122,0.87911,0.00088,3.40929,0.90302,7.02705,0.48804,1.95939,0.01627,0.87475,0.4405,0.0,0.05623,0.39562,0.0,0.0,0.0,0.41164,0.0,1.0,0.0,0.0
0.64441,0.00824,0.0087,0.85256,0.00059,4.32492,0.91109,6.05727,0.48075,1.95428,0.01747,0.9,0.49415,0.0,0.05499,0.37997,0.0,0.0,0.0,0.36135,0.0,0.97712,0.0,0.0
0.65022,0.00443,0.00935,0.8752,0.0006,3.94127,0.95,5.36683,0.49719,2.09691,0.01654,0.88164,0.42822,0.0,0.07158,0.40149,0.0,0.0,0.0,0.47729,0.0,1.0,0.0,0.0
0.64825,0.00627,0.00885,0.83393,0.00064,4.65512,0.80631,6.24457,0.51421,2.40829,0.01641,0.80397,0.52598,0.0,0.04945,0.36081,0.0,0.0,0.0,0.31302,0.0,1.0,0.0,0.0
0.64832,0.00649,0.00914,0.87703,0.00047,5.0,0.7776,6.9303,0.55046,1.39321,0.0178,0.82504,0.5999,0.0,0.05499,0.41973,0.0,0.0,0.0,0.37823,0.0,1.0,0.0,0.0
0.64453,0.00701,0.00914,0.87491,0.00056,4.4193,0.79305,6.10399,0.49645,2.09824,0.01747,0.80257,0.52031,0.0,0.05516,0.40232,0.0,0.0,0.0,0.37598,0.0,0.95625,0.0,0.0
0.64489,0.00694,0.00897,0.87459,0.00055,4.3941,0.80285,6.06008,0.49297,2.08434,0.01763,0.79634,0.52031,0.0,0.05499,0.39633,0.0,0.0,0.0,0.37887,0.0,0.95625,0.0,0.0
0.65188,0.00392,0.01086,0.90859,0.00056,5.0,0.95,6.1088,0.51773,2.51796,0.01747,0.71472,0.47376,0.0,0.06345,0.42413,0.0,0.0,0.0,0.45357,0.0,0.57557,0.0,0.0
0.64304,0.00771,0.01032,0.85772,0.00052,4.41892,0.68338,6.1088,0.49719,2.2344,0.0183,0.81854,0.52031,0.0,0.04163,0.33401,0.0,0.0,0.0,0.39691,0.0,0.88311,0.0,0.0
0.6465,0.00699,0.00931,0.87459,0.00056,4.33779,0.70903,6.1088,0.49719,2.12676,0.01747,0.88213,0.52031,0.0,0.05618,0.39746,0.0,0.0,0.0,0.37554,0.0,0.97179,0.0,0.0
0.6518,0.00605,0.00914,0.85154,0.00046,4.65899,0.89244,6.1088,0.48269,2.6784,0.01883,0.732,0.43476,0.0,0.05608,0.38964,0.0,0.0,0.0,0.39169,0.0,1.0,0.0,0.0
0.64772,0.00698,0.00981,0.87965,0.00054,4.77614,0.72671,6.10635,0.5097,2.2229,0.01582,0.80397,0.45659,0.0,0.05359,0.41069,0.0,0.0,0.0,0.37554,0.0,0.95625,0.0,0.0
0.64234,0.00718,0.00883,0.89972,0.00051,4.30447,0.9319,6.01328,0.46318,2.12127,0.01736,0.78352,0.53471,0.0,0.05392,0.40249,0.0,0.0,0.0,0.38659,0.0,0.96159,0.0,0.0
0.64772,0.00393,0.01197,0.8269,0.00053,5.0,0.95,5.05387,0.45442,2.05688,0.01587,0.69282,0.49976,0.0,0.06178,0.38693,0.0,0.0,0.0,0.55432,0.0,0.74086,0.0,0.0
