epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,833.796,1.26245,1.45346,1.14825,0.47952,0.47015,0.45368,0.30748,1.33247,2.05811,1.26278,0.000554088,0.000554088,0.000554088
2,1656.01,1.28979,1.20211,1.15739,0.58209,0.61396,0.60137,0.3864,1.27056,1.68316,1.15982,0.00109877,0.00109877,0.00109877
3,2472.9,1.27453,1.15843,1.14306,0.64474,0.66685,0.68223,0.45068,1.23163,1.10787,1.12309,0.00163245,0.00163245,0.00163245
4,3289.71,1.23358,1.08479,1.12662,0.64651,0.61952,0.65228,0.43786,1.20615,1.14027,1.11795,0.00161749,0.00161749,0.00161749
5,4105.24,1.20622,1.05107,1.11226,0.64074,0.65011,0.68245,0.46591,1.15061,1.10302,1.079,0.00160099,0.00160099,0.00160099
6,4918.36,1.17314,0.99936,1.09485,0.66886,0.70591,0.72371,0.49394,1.15523,1.01667,1.08299,0.00158448,0.00158448,0.00158448
7,5734.12,1.14512,0.97691,1.08624,0.70111,0.66515,0.71053,0.48282,1.18229,1.01581,1.09821,0.00156798,0.00156798,0.00156798
8,6550.27,1.13586,0.94727,1.08479,0.70943,0.70161,0.74166,0.51698,1.11478,0.94503,1.07389,0.00155148,0.00155148,0.00155148
9,7366.52,1.11844,0.94329,1.06947,0.71032,0.71197,0.7498,0.52287,1.09474,0.92641,1.04873,0.00153497,0.00153497,0.00153497
10,8182.65,1.11086,0.90987,1.06556,0.74087,0.71448,0.7696,0.5399,1.07826,0.87833,1.05084,0.00151847,0.00151847,0.00151847
11,8998.87,1.10007,0.89707,1.06526,0.72014,0.71864,0.76468,0.53671,1.09136,0.92185,1.06152,0.00150197,0.00150197,0.00150197
12,9818.72,1.08944,0.88325,1.06276,0.72412,0.72035,0.76337,0.53243,1.07958,0.91039,1.05231,0.00148546,0.00148546,0.00148546
13,10637,1.07616,0.86069,1.05408,0.7352,0.71943,0.77467,0.54397,1.07397,0.86625,1.04672,0.00146896,0.00146896,0.00146896
14,11454.9,1.08436,0.85102,1.05387,0.75587,0.72632,0.77984,0.54802,1.07843,0.8638,1.04666,0.00145246,0.00145246,0.00145246
15,12270.7,1.06489,0.84581,1.04369,0.73812,0.7081,0.76846,0.5424,1.06629,0.85683,1.04558,0.00143595,0.00143595,0.00143595
16,13085.7,1.07062,0.83349,1.04806,0.75691,0.75337,0.80265,0.57107,1.04756,0.80476,1.03812,0.00141945,0.00141945,0.00141945
17,13900.2,1.07085,0.83362,1.05191,0.70173,0.71096,0.75565,0.53295,1.06634,0.91214,1.04555,0.00140295,0.00140295,0.00140295
18,14712.8,1.04548,0.81367,1.03631,0.74025,0.73943,0.79544,0.56325,1.04344,0.82538,1.03477,0.00138644,0.00138644,0.00138644
19,15525.2,1.04947,0.8032,1.04273,0.75417,0.75009,0.79011,0.56533,1.04731,0.80723,1.04115,0.00136994,0.00136994,0.00136994
20,16338.1,1.04488,0.80264,1.04063,0.75948,0.74786,0.80087,0.56977,1.04872,0.80547,1.04119,0.00135344,0.00135344,0.00135344
21,17148.8,1.04052,0.78415,1.03279,0.78723,0.75308,0.81207,0.58624,1.0187,0.75978,1.02692,0.00133693,0.00133693,0.00133693
22,17964.2,1.0399,0.7803,1.03522,0.76276,0.75185,0.80324,0.5784,1.02866,0.7842,1.0311,0.00132043,0.00132043,0.00132043
23,18777.5,1.03087,0.77755,1.0331,0.7743,0.74999,0.80929,0.58485,1.0202,0.76473,1.02201,0.00130393,0.00130393,0.00130393
24,19591.2,1.01461,0.76534,1.02592,0.76615,0.74932,0.80682,0.58083,1.02777,0.77409,1.02869,0.00128742,0.00128742,0.00128742
25,20408.3,1.02607,0.76554,1.02716,0.77703,0.75452,0.8152,0.58905,1.02209,0.75293,1.0236,0.00127092,0.00127092,0.00127092
26,21221.8,1.01205,0.75319,1.02177,0.78582,0.75569,0.81247,0.58671,1.01706,0.75284,1.02505,0.00125442,0.00125442,0.00125442
27,22034.7,1.00844,0.73791,1.01955,0.75448,0.7556,0.80337,0.57677,1.02664,0.77609,1.02888,0.00123791,0.00123791,0.00123791
28,22848.9,1.00668,0.73546,1.01694,0.75911,0.76202,0.81399,0.59086,1.01257,0.7596,1.0267,0.00122141,0.00122141,0.00122141
29,23664.1,1.00621,0.73616,1.02353,0.77031,0.76258,0.81436,0.58989,1.01859,0.75035,1.02393,0.00120491,0.00120491,0.00120491
30,24478.5,1.00675,0.73119,1.01876,0.77863,0.76399,0.81987,0.59664,1.00156,0.72941,1.02146,0.0011884,0.0011884,0.0011884
31,25293.4,1.00251,0.72517,1.02105,0.76659,0.76302,0.81608,0.59347,1.00933,0.73917,1.02195,0.0011719,0.0011719,0.0011719
32,26108.1,0.98311,0.71237,1.01065,0.78865,0.7683,0.8282,0.60466,0.99491,0.72006,1.01605,0.0011554,0.0011554,0.0011554
33,26923,0.98766,0.70932,1.00883,0.78263,0.7722,0.82392,0.60115,1.0082,0.7183,1.02048,0.00113889,0.00113889,0.00113889
34,27740.8,0.99725,0.71941,1.01703,0.78336,0.77348,0.82686,0.60208,1.00121,0.72051,1.02109,0.00112239,0.00112239,0.00112239
